No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
11	Cc1ccc(cc1)C(C)(C)C	148.270	5.491	6	1	0	0	0	0.0	0.000	0.000	0.000	1.110	0.234	1.871	-0.014	0.531	1.648	1.853	1.705	-1.120	-0.642	10.435	2.963	0.144	1.496	0.936	0.945	1.994	0.000	1.182	1.446	1.053	35.301	0.000	0.000	0.000	35.301	0.000	0.000	6.371	0.000	0.000	-0.214	-3.000	-6.870	0.000	0.000	0.000	0.000	-1.000	-1.538	4	0	0	0	0	12	4	0	0	0	0.000	0.000	0	0	0	0	0	0	3	0	0	0	0	0	0	0	14.851
12	CC=O	44.060	6.294	1	0	1	0	0	14.3	0.000	0.000	0.000	1.220	1.806	3.667	1.402	2.042	0.000	1.481	0.000	-0.249	-0.176	2.158	0.559	0.000	0.402	0.000	0.000	0.000	0.000	1.740	1.871	0.000	8.825	0.000	0.000	0.000	8.825	11.424	0.000	0.000	0.000	1.277	0.000	0.000	0.000	0.000	-1.277	0.000	0.000	0.000	0.000	1	0	0	0	0	0	0	3	0	0	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.101
13	C/C(=N\c1ccccc1)/O	135.180	7.115	7	1	1	1	0	5.3	0.000	0.000	0.000	0.924	2.756	2.433	0.026	0.486	1.435	0.816	0.671	-0.991	-0.735	6.267	1.725	-0.091	0.966	0.957	1.504	0.652	0.000	1.036	1.415	0.642	8.825	0.000	0.000	0.000	25.611	0.000	0.000	2.757	0.000	0.369	-0.152	-2.000	0.000	0.000	0.150	0.000	0.000	-1.472	-2.000	1	0	1	0	1	0	5	3	0	0	0.000	0.000	0	1	1	1	4	2	1	0	0	0	1	0	0	0	4.135
14	CC(=O)O	60.060	7.507	1	0	1	0	0	25.0	0.000	0.000	0.000	0.928	2.000	4.167	-1.030	1.592	0.000	0.969	0.000	-0.410	-0.130	2.720	0.537	0.000	1.095	0.000	0.000	0.000	0.000	1.628	2.271	0.000	8.825	0.000	0.000	0.000	8.825	0.000	0.000	0.910	0.910	1.561	0.000	0.000	0.000	0.000	-0.757	-1.584	0.000	0.000	0.000	1	0	0	0	0	0	0	3	0	0	0.000	0.000	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0.149
15	CC(=O)OC(=O)C	102.100	7.854	2	2	2	0	0	23.1	0.000	0.000	0.000	0.908	2.811	3.548	0.254	0.875	2.672	1.655	2.355	na	-0.206	5.110	1.072	1.109	0.720	1.509	1.467	0.000	0.000	1.763	2.055	0.558	17.650	0.000	0.000	0.000	17.650	0.000	0.000	14.383	0.000	1.592	-1.000	-4.772	0.000	0.000	2.112	-0.366	-1.024	0.000	0.000	2	0	0	0	0	0	0	6	0	0	0.000	0.000	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0.207
16	CC(=O)CC(=O)O	102.100	7.854	2	2	2	0	0	23.1	0.000	0.000	0.000	0.919	2.873	3.833	0.249	0.875	2.672	0.520	1.789	-1.112	-0.208	4.515	1.129	1.109	1.222	0.644	2.518	0.000	0.000	1.422	1.815	0.238	8.825	2.535	0.000	0.000	11.360	0.000	0.000	8.578	0.910	1.527	-1.000	-4.772	0.000	0.000	2.076	-0.342	-1.029	0.000	0.000	1	0	0	0	0	0	0	5	0	0	0.000	0.000	0	1	1	0	4	0	0	0	0	0	3	0	0	0	0.127
17	CC(=O)C	58.090	5.809	1	0	1	0	0	10.0	0.000	0.000	0.000	1.204	2.444	3.167	-1.014	1.592	0.000	2.083	0.000	na	-0.124	3.339	0.908	0.000	1.495	0.000	0.000	0.000	0.000	1.660	2.691	0.000	17.650	0.000	0.000	0.000	17.650	0.000	0.000	5.133	0.000	1.452	0.000	0.000	0.000	0.000	-0.680	-1.498	0.000	0.000	0.000	2	0	0	0	0	0	0	6	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.041
18	CC(=O)Cl	78.500	11.214	1	0	1	0	0	14.3	0.000	0.000	0.000	1.271	2.210	3.694	-1.024	1.592	0.000	1.481	0.000	-0.456	-0.128	3.299	0.626	0.000	1.495	0.000	0.000	0.000	0.000	0.901	2.244	0.000	8.825	0.000	0.000	0.000	8.825	0.000	0.000	5.449	0.000	1.911	0.000	0.000	0.000	0.000	-0.907	-1.959	0.000	0.000	0.000	1	0	0	0	0	0	0	3	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.041
19	C#C	26.040	6.510	1	0	0	0	0	0.0	0.000	0.000	0.000	1.000	0.000	4.000	-1.498	0.000	0.000	1.500	0.000	na	na	0.419	0.288	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489
20	C=CC=O	56.070	7.009	2	1	2	0	0	12.5	0.000	0.000	0.000	0.977	2.056	3.500	-1.039	1.089	3.132	0.625	0.000	-0.830	-0.608	2.149	0.714	0.000	0.884	0.377	0.000	0.000	0.000	1.328	0.860	2.136	0.000	15.767	0.000	0.000	0.000	20.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	3	0	0	0	3	0	0	0	3.111	0.000	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0.009
