No.	NAME	MW	AMW	nBM	RBN	nDB	nN	nF	O%	D/Dtr03	D/Dtr05	D/Dtr10	BLI	MAXDP	Psi_i_A	Psi_e_1d	Vindex	Yindex	CIC3	CIC5	VE3sign_Dz(i)	VE3sign_B(i)	ATSC2m	ATSC1p	MATS6m	GATS3v	GATS4v	GATS5e	GATS7e	GATS8e	GATS1p	GATS3s	GATS4s	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_s_1	P_VSA_s_3	P_VSA_ppp_N	SpMAD_EA(dm)	SM13_AEA(bo)	SM15_AEA(dm)	SM06_AEA(ri)	SM09_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig09_AEA(dm)	Eig10_AEA(dm)	nCp	nCrs	nCconj	C-005	C-026	H-046	H-047	H-051	H-052	O-059	SdCH2	StN	CATS2D_04_DD	CATS2D_02_DA	CATS2D_02_DL	CATS2D_06_DL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_06_LL	T(N..Cl)	T(O..F)	T(F..Cl)	F03[C-O]	F03[C-Cl]	F03[O-Cl]	F05[C-Cl]	MLOGP2
41	C(C(=O)Cl)Cl	112.940	16.134	1	0	1	0	0	14.3	0.000	0.000	0.000	1.445	2.446	3.678	0.676	1.106	3.916	1.088	0.000	-0.439	-0.255	7.628	0.422	0.000	1.159	0.000	0.000	0.000	0.000	0.631	1.638	0.000	0.000	2.850	0.000	0.000	2.850	39.149	0.000	8.298	0.000	1.714	0.000	0.000	0.000	0.000	0.468	-1.453	-1.975	0.000	0.000	1	0	0	0	0	0	2	0	0	0	0.000	0.000	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.429
42	C(F)(F)Cl	86.470	17.294	0	0	0	0	2	0.0	0.000	0.000	0.000	1.091	2.099	5.361	-1.041	1.592	0.000	0.000	0.000	-0.423	-0.153	2.885	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.899	0.000	0.000	0.000	0.000	8.430	0.000	8.430	39.149	0.000	0.000	0.000	2.035	0.000	0.000	0.000	0.000	-1.510	-1.543	0.000	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1.860
43	COCCl	80.520	8.947	0	0	0	0	0	11.1	0.000	0.000	0.000	1.499	0.853	2.778	-1.045	1.089	3.132	1.103	0.000	-0.812	-0.522	7.965	0.816	0.000	1.602	0.806	0.000	0.000	0.000	1.304	0.416	1.116	10.883	4.907	0.000	11.000	4.907	0.000	0.000	4.907	0.000	0.962	0.000	0.000	0.000	0.000	0.000	-1.443	0.000	0.000	0.000	0	0	0	1	0	0	3	0	0	1	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.120
44	c1ccc(c(c1)[N](=O)[O])Cl	157.560	11.254	7	1	1	1	0	14.3	0.000	0.000	0.000	0.895	3.143	3.144	0.026	0.570	1.869	0.143	0.000	-1.842	-0.775	0.941	1.020	-0.641	1.055	1.155	2.546	0.000	0.000	0.617	0.651	1.291	6.545	0.000	39.149	0.000	0.000	45.693	0.000	6.257	0.000	0.274	-0.243	-2.000	0.000	0.000	0.000	0.000	0.000	-1.493	-2.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	0	0	1	5	0	3	0	0	4	2	0	0	3.780
45	CC(C(=O)O)Cl	108.530	9.866	1	1	1	0	0	18.2	0.000	0.000	0.000	1.169	2.567	3.685	-0.415	1.088	3.971	0.432	2.634	-0.605	-0.706	5.227	1.029	0.000	1.187	1.040	0.000	0.000	0.000	0.951	1.091	2.212	8.825	0.000	0.000	0.000	8.825	39.149	0.000	0.910	0.910	1.163	-1.562	0.000	0.000	0.000	0.434	0.000	-1.181	0.000	0.000	1	0	0	0	0	0	1	0	3	0	0.000	0.000	0	1	0	0	0	4	0	0	0	0	2	0	2	0	0.344
46	CC(C)c1ccccc1	120.210	5.724	6	1	0	0	0	0.0	0.000	0.000	0.000	1.118	0.204	1.889	-0.047	0.558	1.764	1.346	1.215	-0.600	-1.636	7.841	2.254	0.083	1.123	1.080	0.972	0.000	0.000	1.111	1.024	1.139	17.650	0.000	0.000	0.000	17.650	0.000	0.000	3.186	0.000	0.000	-0.732	-2.000	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	2	0	0	0	0	7	5	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.620
47	C(C#N)C(=O)O	85.070	9.452	2	1	1	1	0	22.2	0.000	0.000	0.000	0.815	2.377	4.111	-0.424	0.882	2.636	0.222	2.465	-0.853	-0.276	1.898	0.634	0.000	0.990	0.524	0.931	0.000	0.000	1.145	1.879	0.052	0.000	2.535	0.000	0.000	33.594	0.000	0.000	3.444	0.910	1.916	-1.675	0.000	0.000	0.000	2.017	-0.675	-1.534	0.000	0.000	0	0	0	0	0	0	0	2	0	0	0.000	7.606	0	1	1	0	3	0	0	0	0	0	2	0	0	0	0.656
48	C(#N)Cl	61.470	20.490	1	0	0	1	0	0.0	0.000	0.000	0.000	1.186	1.085	4.204	1.442	2.042	0.000	0.000	0.000	-0.202	-0.197	0.672	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.516	0.000	0.000	0.000	0.000	0.000	0.000	31.059	39.149	0.000	0.000	0.000	2.370	0.000	0.000	0.000	0.000	-2.370	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	7.085	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0.101
49	c1(nc(nc(n1)Cl)Cl)Cl	184.410	20.490	6	0	0	3	0	0.0	0.000	0.000	0.000	1.014	1.208	2.926	-0.048	0.595	1.903	1.585	1.585	na	-0.428	6.402	0.129	0.000	0.564	1.248	0.000	0.000	0.000	0.785	2.037	0.275	0.000	0.000	0.000	0.000	7.929	50.357	0.000	7.929	0.000	0.000	-0.347	-1.583	0.000	0.000	0.000	0.000	0.000	-2.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	6	0	0	24	0	0	0	6	0	0	5.614
50	C1CCCCC1	84.180	4.677	0	0	0	0	0	0.0	0.000	0.000	0.000	1.500	0.000	1.500	0.247	0.684	2.056	3.252	3.252	na	na	7.270	2.046	0.000	1.000	0.708	0.000	0.000	0.000	1.417	1.000	0.708	0.000	15.207	0.000	0.000	15.207	0.000	0.000	15.207	0.000	0.000	-1.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6	0	0	0	12	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.760
51	C1CCC(CC1)O	100.180	5.273	0	0	0	0	0	5.3	0.000	0.000	0.000	1.318	2.909	2.119	-0.143	0.643	2.022	1.448	1.158	-1.163	-0.527	8.417	2.057	0.570	1.056	0.771	1.133	0.000	0.000	1.381	1.052	1.142	0.000	12.673	0.000	42.683	12.673	0.000	0.000	12.673	0.000	0.000	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6	0	0	0	6	1	0	4	0	0.000	0.000	0	0	2	0	2	2	0	0	0	0	2	0	0	0	1.428
52	C1CCC(=O)CC1	98.160	5.774	1	0	1	0	0	5.9	0.000	0.000	0.000	1.248	3.463	2.310	-0.144	0.643	2.022	1.294	1.294	-0.702	-0.444	7.408	1.885	0.000	1.019	0.791	1.733	0.000	0.000	1.330	1.142	1.396	0.000	12.673	0.000	0.000	12.673	0.000	0.000	17.806	0.000	0.622	-1.000	-3.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	5	0	0	0	6	0	4	0	0	0.000	0.000	0	0	0	0	2	2	0	0	0	0	2	0	0	0	1.103
53	C(Cl)Cl	84.930	16.986	0	0	0	0	0	0.0	0.000	0.000	0.000	2.405	0.653	3.241	1.386	2.042	0.000	0.000	0.000	na	-0.180	12.313	0.261	0.000	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.000	3.165	0.000	0.000	3.165	0.000	0.000	3.165	0.000	1.200	0.000	0.000	0.000	0.000	-1.200	0.000	0.000	0.000	0.000	1	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.860
54	C(CO)NCCO	105.160	5.842	0	4	0	1	0	11.1	0.000	0.000	0.000	1.170	2.149	2.929	0.253	0.666	1.730	1.333	1.565	na	-0.619	7.414	1.207	0.060	0.817	0.958	1.163	1.529	0.000	1.750	0.742	0.708	0.000	4.211	0.000	85.367	22.222	0.000	0.000	4.211	0.000	0.133	-1.247	-3.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	8	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840
55	CCOCC	74.140	4.943	0	2	0	0	0	6.7	0.000	0.000	0.000	1.494	1.333	2.100	0.680	0.853	2.340	1.834	2.482	na	-0.407	5.420	1.254	0.487	0.617	1.578	0.058	0.000	0.000	2.003	1.689	0.381	17.650	9.185	0.000	11.000	26.835	0.000	0.000	9.185	0.000	0.430	0.000	0.000	0.000	0.000	0.000	0.000	-0.860	0.000	0.000	2	0	0	0	0	0	4	0	6	1	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.640
56	C(COCCO)O	106.140	6.244	0	4	0	0	0	17.6	0.000	0.000	0.000	1.105	2.086	3.071	0.255	0.666	1.730	1.412	1.652	na	-0.647	7.474	1.193	0.081	0.769	1.105	0.959	1.146	0.000	1.902	0.826	0.467	0.000	9.185	0.000	96.367	9.185	0.000	0.000	9.185	0.000	0.287	-1.247	-3.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	8	0	0	1	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840
57	COC	46.080	5.120	0	0	0	0	0	11.1	0.000	0.000	0.000	1.225	0.750	2.500	1.414	2.042	0.000	2.298	0.000	na	-0.137	2.892	0.482	0.000	2.474	0.000	0.000	0.000	0.000	2.492	0.667	0.000	21.766	0.000	0.000	11.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000	-0.860	0.000	0.000	0.000	0.000	0	0	0	2	0	0	6	0	0	1	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030
58	COC(=O)CC(=O)OC	132.130	7.772	2	4	2	0	0	23.5	0.000	0.000	0.000	0.878	3.258	3.315	0.085	0.780	2.282	1.501	1.741	na	-0.472	7.607	1.339	-1.170	1.113	1.377	0.394	0.065	0.000	1.922	1.673	1.442	21.766	2.535	0.000	0.000	2.535	0.000	0.000	16.917	0.000	1.389	-0.567	-2.834	0.000	0.000	2.298	0.405	0.211	0.000	0.000	0	0	0	2	0	0	6	2	0	0	0.000	0.000	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0.003
59	COS(=O)(=O)OC	126.150	9.704	2	2	2	0	0	30.8	0.000	0.000	0.000	1.408	2.924	3.702	0.251	1.074	4.096	1.655	2.770	na	-0.274	7.785	1.232	0.875	2.010	0.830	0.055	0.000	0.000	2.399	0.886	2.514	21.766	0.000	0.000	17.091	0.000	9.454	9.454	0.000	0.000	1.429	-1.391	-4.828	0.000	0.000	0.694	0.000	0.000	0.000	0.000	0	0	0	2	0	0	6	0	0	2	0.000	0.000	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0.263
60	CSC	62.150	6.906	0	0	0	0	0	0.0	0.000	0.000	0.000	3.674	0.042	1.944	1.348	2.042	0.000	2.298	0.000	na	-0.170	7.798	1.243	0.000	1.669	0.000	0.000	0.000	0.000	0.937	2.219	0.000	14.381	0.000	0.000	0.000	0.000	0.000	0.000	32.220	0.000	2.950	0.000	0.000	0.000	0.000	-2.950	0.000	0.000	0.000	0.000	0	0	0	2	0	0	6	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713
61	CS(=O)C	78.150	7.815	1	0	1	0	0	10.0	0.000	0.000	0.000	2.949	2.556	3.056	-0.996	1.592	0.000	2.083	0.000	na	-0.131	9.390	1.474	0.000	1.262	0.000	0.000	0.000	0.000	1.333	2.661	0.000	14.381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.967	0.000	0.000	0.000	0.000	0.000	-2.950	0.000	0.000	0.000	0	0	0	2	0	0	6	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101
62	CC(=O)N(C)C	87.140	5.809	1	0	1	1	0	6.7	0.000	0.000	0.000	1.093	3.069	2.778	-0.420	1.088	3.971	1.484	2.914	-1.451	-0.652	5.863	1.038	0.000	1.586	1.246	0.000	0.000	0.000	1.934	1.643	1.799	25.618	3.124	0.000	0.000	11.950	0.000	0.000	4.705	0.000	0.998	-1.562	0.000	0.000	0.000	0.555	-0.400	-0.689	0.000	0.000	1	0	0	2	0	0	6	3	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.032
63	CNC	45.100	4.510	0	0	0	1	0	0.0	0.000	0.000	0.000	1.500	0.250	2.167	1.375	2.042	0.000	2.083	0.000	na	-0.129	2.647	0.524	0.000	1.295	0.000	0.000	0.000	0.000	2.177	0.744	0.000	16.793	0.000	0.000	0.000	18.011	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.000	0.000	-0.400	0.000	0.000	0.000	0.000	0	0	0	2	0	0	6	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030
64	C1COCCO1	88.120	6.294	0	0	0	0	0	14.3	0.000	0.000	0.000	1.077	1.444	2.167	0.255	0.684	2.056	2.429	2.429	na	na	7.285	1.217	0.000	0.946	1.160	0.000	0.000	0.000	1.878	1.252	0.081	0.000	18.370	0.000	22.000	18.370	0.000	0.000	18.370	0.000	0.573	-1.000	-4.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000	0	0	0	0	0	0	8	0	0	2	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224
65	CCCNCCC	101.220	4.601	0	4	0	1	0	0.0	0.000	0.000	0.000	1.561	0.785	1.786	0.250	0.666	1.730	1.705	1.908	na	-0.550	7.628	1.947	-0.006	0.890	0.773	0.311	0.222	0.000	1.732	0.931	1.251	17.650	9.280	0.000	0.000	44.942	0.000	0.000	9.280	0.000	0.133	-1.247	-3.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	6	4	0	4	0	0.000	0.000	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2.519
66	CC(CO)OCC(C)OC	148.230	5.701	0	5	0	0	0	11.5	0.000	0.000	0.000	1.152	2.555	2.467	-0.047	0.700	1.932	1.087	0.702	-2.138	-2.708	11.577	2.199	-0.223	1.091	1.179	0.787	0.686	0.680	1.904	0.939	0.996	28.533	4.592	0.000	64.683	22.243	0.000	0.000	4.592	0.000	0.382	0.000	-2.373	0.000	0.000	0.860	0.000	0.000	-1.434	0.000	3	0	0	1	0	0	9	0	6	2	0.000	0.000	0	0	0	1	2	2	0	0	0	0	2	0	0	0	0.050
67	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O	393.400	7.868	5	16	5	3	0	20.0	0.000	0.000	0.000	0.895	3.965	3.438	na	0.667	1.823	2.353	1.832	na	-0.878	20.005	3.558	-0.024	1.271	1.093	1.346	0.706	1.797	1.575	0.982	0.410	0.000	18.951	0.000	0.000	28.324	0.000	0.000	23.501	4.549	1.107	2.115	4.631	-0.661	-2.000	2.384	2.376	2.369	1.057	0.949	0	0	0	0	0	0	18	0	0	0	0.000	0.000	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2.809
68	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	292.280	8.119	4	11	4	2	0	22.2	0.000	0.000	0.000	0.872	3.555	3.583	na	0.691	1.931	2.111	2.111	na	na	13.661	2.520	0.070	1.291	1.037	1.502	0.900	2.305	1.552	1.048	0.447	0.000	12.634	0.000	0.000	18.883	0.000	0.000	16.274	3.639	1.178	1.838	3.899	-2.000	-2.000	2.384	2.369	2.369	0.876	0.619	0	0	0	0	0	0	12	0	0	0	0.000	0.000	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1.845
69	C1C(O1)CCl	92.530	9.253	0	0	0	0	0	10.0	7.833	0.000	0.000	1.286	1.226	2.389	-0.419	0.870	2.983	0.400	2.061	-0.467	-0.582	6.721	1.043	0.000	0.909	0.791	0.000	0.000	0.000	1.038	0.897	1.239	0.000	7.442	0.000	11.000	7.442	39.149	0.000	7.442	0.000	0.344	-1.776	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	1	0	0	0	0	5	0	0	1	0.000	0.000	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0.166
70	CCOC(=O)C	88.120	6.294	1	2	1	0	0	14.3	0.000	0.000	0.000	1.142	2.822	2.944	-0.425	0.882	2.636	0.822	1.638	-0.516	-0.251	5.775	1.168	0.721	0.642	1.722	0.846	0.000	0.000	1.881	1.633	1.555	17.650	4.592	0.000	0.000	22.243	0.000	0.000	11.784	0.000	1.092	-1.675	0.000	0.000	0.000	0.286	0.000	-0.998	0.000	0.000	2	0	0	0	0	0	2	3	3	0	0.000	0.000	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0.344
71	CCc1ccccc1	106.180	5.899	6	1	0	0	0	0.0	0.000	0.000	0.000	1.114	0.162	1.896	0.084	0.573	1.782	0.973	0.820	-0.469	-0.857	6.514	1.894	0.200	1.009	1.211	0.877	0.000	0.000	1.062	0.943	1.268	8.825	2.535	0.000	0.000	11.360	0.000	0.000	5.720	0.000	0.000	-0.757	-2.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	0	5	5	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.653
72	CCN	45.100	4.510	0	0	0	1	0	0.0	0.000	0.000	0.000	1.673	0.847	2.500	1.357	2.042	0.000	1.208	0.000	-0.438	-0.178	2.653	0.645	0.000	0.579	0.000	0.000	0.000	0.000	1.794	1.058	0.000	8.825	35.003	0.000	0.000	43.828	0.000	0.000	2.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	2	0	3	0	0.000	0.000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.030
73	C(CBr)Br	187.860	23.482	0	0	0	0	0	0.0	0.000	0.000	0.000	3.277	0.451	2.125	-1.003	1.089	3.132	2.000	0.000	na	na	58.286	0.482	0.000	1.000	0.000	0.000	0.000	0.000	0.526	1.164	0.000	0.000	4.808	91.908	0.000	4.808	0.000	0.000	4.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.957
74	C1COC(=O)O1	88.070	8.807	1	0	1	0	0	30.0	0.000	12.467	0.000	0.845	2.799	3.111	0.256	0.793	2.803	1.200	1.532	-0.591	-0.355	4.628	0.787	0.000	1.044	0.946	0.000	0.000	0.000	1.851	0.840	4.850	0.000	9.185	0.000	0.000	9.185	0.000	0.000	18.434	0.000	1.070	-1.618	-4.372	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0	0	0	0	0	0	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.474
75	C(CCl)Cl	98.960	12.370	0	0	0	0	0	0.0	0.000	0.000	0.000	2.104	0.943	2.806	-1.014	1.089	3.132	2.000	0.000	na	na	9.289	0.676	0.000	0.865	0.000	0.000	0.000	0.000	0.718	1.129	0.000	0.000	5.699	0.000	0.000	5.699	78.297	0.000	5.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.301
76	CCOCCOCC	118.200	5.373	0	5	0	0	0	9.1	0.000	0.000	0.000	1.315	1.511	2.125	-0.149	0.617	1.574	1.796	1.796	na	na	9.268	1.862	-0.094	0.723	1.463	0.918	0.091	0.046	2.008	1.481	0.474	17.650	18.370	0.000	22.000	36.020	0.000	0.000	18.370	0.000	0.491	-0.765	-2.449	0.000	0.000	0.860	0.000	0.000	0.000	0.000	2	0	0	0	0	0	8	0	6	2	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.499
77	COCCOC	90.140	5.634	0	3	0	0	0	12.5	0.000	0.000	0.000	1.136	1.157	2.333	-0.431	0.737	1.958	1.844	2.219	na	na	6.806	1.118	-0.798	1.349	1.057	1.420	0.000	0.000	2.255	1.006	0.284	21.766	9.185	0.000	22.000	9.185	0.000	0.000	9.185	0.000	0.688	-1.732	0.000	0.000	0.000	0.860	0.000	-0.860	0.000	0.000	0	0	0	2	0	0	10	0	0	2	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007
78	CCOCCO	90.140	5.634	0	3	0	0	0	12.5	0.000	0.000	0.000	1.260	2.072	2.667	-0.425	0.737	1.958	0.672	1.172	na	-1.287	6.584	1.225	-0.005	0.696	1.304	0.677	0.000	0.000	1.952	0.924	0.475	8.825	9.185	0.000	53.683	18.010	0.000	0.000	9.185	0.000	0.344	-1.732	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	6	0	3	1	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.007
79	C1CO1	44.060	6.294	0	0	0	0	0	14.3	3.000	0.000	0.000	1.077	1.000	2.167	-1.021	4.500	0.000	1.429	0.000	na	na	2.647	0.608	0.000	0.000	0.000	0.000	0.000	0.000	1.733	0.000	0.000	0.000	9.185	0.000	11.000	9.185	0.000	0.000	9.185	0.000	0.573	0.000	0.000	0.000	0.000	0.000	-0.860	0.000	0.000	0.000	0	0	0	0	0	0	4	0	0	1	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319
80	C(CN)N	60.120	5.010	0	1	0	2	0	0.0	0.000	0.000	0.000	1.316	0.903	2.750	-1.014	1.089	3.132	1.667	3.057	na	na	3.868	0.653	0.000	0.771	0.419	0.000	0.000	0.000	1.610	0.672	1.145	0.000	70.006	0.000	0.000	70.006	0.000	0.000	4.211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	4	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109
81	C(=O)O	46.030	9.206	1	0	1	0	0	40.0	0.000	0.000	0.000	0.741	1.361	5.000	1.456	2.042	0.000	0.929	0.000	-0.235	-0.190	1.251	0.158	0.000	0.494	0.000	0.000	0.000	0.000	1.778	1.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.201	1.437	0.000	0.000	0.000	0.000	-1.437	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.056
82	C(C(CO)O)O	92.110	6.579	0	2	0	0	0	21.4	0.000	0.000	0.000	1.024	2.167	3.722	-0.415	0.955	3.135	1.000	2.217	na	-0.533	5.759	0.932	0.720	1.035	0.631	0.733	0.000	0.000	1.647	0.818	1.097	0.000	0.000	0.000	128.050	0.000	0.000	0.000	0.000	0.000	0.000	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	0	0	5	0	0	0	0.000	0.000	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1.876
83	C(C(=O)O)N	75.080	7.508	1	1	1	1	0	20.0	0.000	0.000	0.000	0.892	2.243	4.033	0.677	1.106	3.916	0.400	2.525	-0.457	-0.251	3.418	0.517	0.000	0.933	0.746	0.000	0.000	0.000	1.423	1.160	1.766	0.000	35.003	0.000	0.000	35.003	0.000	0.000	3.016	0.910	1.267	0.000	0.000	0.000	0.000	0.159	-0.923	-1.610	0.000	0.000	1	0	0	0	0	0	2	0	0	0	0.000	0.000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.813
84	C(=O)C=O	58.040	9.673	2	1	2	0	0	33.3	0.000	0.000	0.000	0.805	1.806	4.500	-1.053	1.089	3.132	1.528	0.000	na	na	1.246	0.452	0.000	0.462	0.000	0.000	0.000	0.000	1.488	1.089	0.000	0.000	0.000	0.000	0.000	0.000	22.848	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	2	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.705
85	C(C(F)(F)F)(F)(F)F	138.020	17.252	0	0	0	0	6	0.0	0.000	0.000	0.000	0.593	2.437	6.312	na	1.201	4.976	2.689	0.000	na	na	0.508	0.784	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	15.519	0.000	15.519	0.000	0.000	0.000	0.000	1.726	-1.000	-3.000	0.000	0.000	3.020	0.000	-1.510	0.000	0.000	2	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.957
86	c1cc(ccc1O)O	110.120	7.866	6	0	0	0	0	14.3	0.000	0.000	0.000	0.851	2.646	2.917	0.083	0.597	1.848	1.571	1.571	na	na	3.619	1.337	-1.509	1.213	1.054	0.021	0.000	0.000	0.797	1.186	1.242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000	-3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	2	0	4	0	0	0	0.000	0.000	0	0	4	0	4	4	0	0	0	0	4	0	0	0	0.798
87	c1cnc[nH]1	68.090	7.566	5	0	0	2	0	0.0	0.000	9.167	0.000	0.856	0.667	2.300	-0.429	0.920	3.125	-0.000	-0.000	na	na	2.938	0.437	0.000	1.279	0.000	0.000	0.000	0.000	1.197	1.217	0.000	0.000	0.000	0.000	0.000	34.452	16.786	0.000	0.000	0.000	0.000	-1.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.134
88	CC(C)COC(=O)C	116.180	5.809	1	3	1	0	0	10.0	0.000	0.000	0.000	1.183	3.126	2.625	-0.146	0.755	2.125	1.213	1.645	-0.849	-0.656	8.264	1.867	-0.775	1.273	0.539	0.704	0.000	0.000	1.755	1.200	0.942	26.476	4.592	0.000	0.000	31.068	0.000	0.000	11.784	0.000	0.780	-1.000	-2.606	0.000	0.000	0.286	0.000	0.000	0.000	0.000	3	0	0	0	0	6	2	3	1	0	0.000	0.000	0	0	0	0	3	2	0	0	0	0	3	0	0	0	1.886
89	CCCC(C)C	86.200	4.310	0	2	0	0	0	0.0	0.000	0.000	0.000	1.662	0.253	1.722	-0.412	0.882	2.636	1.313	2.294	-0.671	-0.246	6.409	2.067	0.429	1.206	0.704	1.005	0.000	0.000	1.667	1.238	0.540	26.476	5.069	0.000	0.000	31.545	0.000	0.000	5.069	0.000	0.000	-1.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	0	0	0	0	14	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.363
