No.	NAME	MW	AMW	nTA	nBM	RBN	nF	N%	O%	D/Dtr05	D/Dtr09	D/Dtr10	MAXDP	X2v	Yindex	IC3	CIC5	VR1_D/Dt	ATSC2m	ATSC3m	ATSC1p	GATS6e	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_v_3	P_VSA_p_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_5	P_VSA_ppp_D	SpDiam_EA(dm)	Chi1_EA(dm)	SM13_AEA(dm)	SM14_AEA(dm)	SM15_AEA(dm)	SM02_AEA(ri)	SM03_AEA(ri)	SM04_AEA(ri)	SM05_AEA(ri)	SM06_AEA(ri)	SM10_AEA(ri)	nCp	nCs	H-046	H-047	H-051	H-052	SaaN	SssO	CATS2D_02_AA	CATS2D_02_AL	CATS2D_03_AL	CATS2D_05_AL	CATS2D_04_LL	T(N..Cl)	T(O..F)	T(O..Cl)	T(F..Cl)	F01[C-N]	F03[C-O]	F03[C-Cl]	MLOGP2
1	C(C(OC(F)F)(F)F)(F)Cl	184.500	15.375	6	0	1	5	0.0	8.3	0.000	0.000	0.000	3.588	1.624	2.995	3.252	1.959	na	5.044	2.830	1.275	0.000	0.000	0.000	2.494	14.055	11.000	14.055	0.000	55.698	0.000	0.000	0.000	0.000	0.000	4.504	4.370	-1.115	-2.000	-2.000	-3.000	-5.192	-6.772	0.000	0.000	0.000	1	0	0	0	0	0	0.000	2.525	0	0	1	0	0	0	11	3	18	0	0	0	3.120
2	CCCO	60.110	5.009	2	0	1	0	0.0	8.3	0.000	0.000	0.000	1.875	0.724	3.132	2.855	2.786	na	3.978	3.638	0.991	0.000	8.825	2.535	42.683	0.000	42.683	11.360	0.000	11.360	0.000	0.000	2.535	0.000	42.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	1	3	2	0	2	0.000	0.000	0	1	1	0	0	0	0	0	0	0	1	0	0.120
3	c1c(c(cc(c1Cl)Cl)Cl)O	197.440	15.188	4	6	0	0	0.0	7.7	0.000	0.000	0.000	2.950	2.939	1.909	3.547	-0.000	9.646	4.696	13.813	0.629	2.423	0.000	0.000	18.952	117.446	0.000	0.000	117.446	146.900	0.000	0.000	10.502	0.000	42.683	0.000	3.619	1.372	-1.167	-1.372	-3.167	-4.372	-4.660	-6.660	0.000	0.000	0	0	0	2	0	0	0.000	0.000	0	1	2	1	1	0	0	12	0	0	2	6	10.982
4	c1cc(ccc1CCl)Cl	161.030	10.735	2	6	0	0	0.0	0.0	0.000	0.000	0.000	1.514	2.464	1.630	3.240	0.667	8.532	5.593	6.777	1.045	3.073	0.000	2.850	37.905	39.149	0.000	2.850	78.297	125.738	0.000	0.000	9.536	0.000	0.000	2.060	5.024	0.868	-0.533	-2.787	-3.000	-4.224	-5.275	0.000	0.000	0.000	1	0	0	6	0	0	0.000	0.000	0	0	0	0	3	0	0	0	0	0	0	4	12.439
5	CCC(C)(C)O	88.170	4.898	4	0	1	0	0.0	5.6	0.000	0.000	0.000	2.826	2.166	5.184	2.822	2.979	na	6.777	8.489	1.708	0.000	26.476	2.535	42.683	0.000	42.683	29.010	0.000	29.010	0.000	0.000	2.535	0.000	42.683	0.000	3.488	-3.000	-4.381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	1	3	0	0	8	0.000	0.000	0	3	1	0	0	0	0	0	0	0	1	0	1.463
6	c1ccc(c(c1)N)[N](=O)[O]	138.140	8.634	3	7	1	0	12.5	12.5	0.000	0.000	0.000	3.147	1.816	1.869	3.500	0.125	9.663	3.886	5.549	1.147	2.133	6.545	0.000	70.802	0.000	0.000	0.000	6.545	43.418	0.000	0.000	5.513	0.000	32.897	2.393	7.301	2.304	-0.520	-2.000	-2.016	-3.459	-5.184	-6.295	0.000	0.000	0	0	0	4	0	0	0.000	0.000	1	1	4	2	0	0	0	0	0	2	4	0	0.613
7	CC(C)CCOC(=O)C	130.210	5.661	4	1	4	0	0.0	8.7	0.000	0.000	0.000	3.203	2.523	1.821	3.382	1.339	na	9.505	10.794	2.213	0.798	26.476	7.127	0.000	0.000	0.000	33.603	0.000	40.794	0.000	0.000	14.318	0.000	0.000	4.174	2.837	-0.553	-2.000	-2.000	-3.359	-4.389	0.000	0.000	0.000	0.000	3	1	7	2	3	2	0.000	4.714	1	3	1	1	1	0	0	0	0	0	2	0	2.981
8	CC(C)CC(=O)C	100.180	5.273	4	1	2	0	0.0	5.3	0.000	0.000	0.000	3.254	2.300	2.672	2.971	2.290	na	7.021	8.418	1.939	0.000	26.476	2.535	0.000	0.000	0.000	29.010	0.000	34.144	0.000	0.000	7.668	0.000	0.000	3.677	1.993	-2.000	-2.000	-4.772	0.000	0.000	0.000	0.000	0.000	0.000	3	1	7	0	5	0	0.000	0.000	0	2	1	0	2	0	0	0	0	0	1	0	2.080
9	CC(C)(C)c1ccc(cc1)C=O	162.250	6.240	4	7	2	0	0.0	3.8	0.000	0.000	0.000	3.367	3.990	1.466	3.113	1.588	11.516	9.910	12.738	2.764	0.379	26.476	0.000	37.905	0.000	0.000	26.476	11.424	82.176	0.000	0.000	6.371	0.000	0.000	0.000	5.882	2.275	0.747	-1.049	-3.000	-3.000	-3.000	-4.021	-5.275	0.000	3	0	9	4	0	0	0.000	0.000	0	1	2	1	7	0	0	0	0	0	2	0	9.086
10	Cc1ccc(cc1)C(C)(C)C	148.270	5.491	4	6	1	0	0.0	0.0	0.000	0.000	0.000	0.234	4.116	1.648	2.902	1.705	10.539	10.435	13.222	2.963	0.725	35.301	0.000	37.905	0.000	0.000	35.301	0.000	79.577	0.000	0.000	6.371	0.000	0.000	0.000	7.353	2.275	-0.470	-3.000	-3.000	-3.000	-3.065	-5.275	-6.870	0.000	4	0	12	4	0	0	0.000	0.000	0	0	0	0	8	0	0	0	0	0	0	0	14.851
