No.	NAME	MW	AMW	nTA	nBM	RBN	nF	N%	O%	D/Dtr05	D/Dtr09	D/Dtr10	MAXDP	X2v	Yindex	IC3	CIC5	VR1_D/Dt	ATSC2m	ATSC3m	ATSC1p	GATS6e	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_7	P_VSA_v_3	P_VSA_p_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_5	P_VSA_ppp_D	SpDiam_EA(dm)	Chi1_EA(dm)	SM13_AEA(dm)	SM14_AEA(dm)	SM15_AEA(dm)	SM02_AEA(ri)	SM03_AEA(ri)	SM04_AEA(ri)	SM05_AEA(ri)	SM06_AEA(ri)	SM10_AEA(ri)	nCp	nCs	H-046	H-047	H-051	H-052	SaaN	SssO	CATS2D_02_AA	CATS2D_02_AL	CATS2D_03_AL	CATS2D_05_AL	CATS2D_04_LL	T(N..Cl)	T(O..F)	T(O..Cl)	T(F..Cl)	F01[C-N]	F03[C-O]	F03[C-Cl]	MLOGP2
11	C/C(=N\c1ccccc1)/O	135.180	7.115	2	7	1	0	5.3	5.3	0.000	0.000	0.000	2.756	1.995	1.435	3.432	0.671	9.618	6.267	7.958	1.725	1.059	8.825	0.000	47.381	0.000	0.000	25.611	0.000	58.963	0.000	0.000	2.757	0.000	42.683	2.786	8.302	2.136	-0.366	-2.000	-2.294	-2.347	-4.789	-5.180	0.000	0.000	1	0	0	5	3	0	0.000	0.000	1	4	2	2	2	0	0	0	0	2	1	0	4.135
12	CC(=O)OC(=O)C	102.100	7.854	4	2	2	0	0.0	23.1	0.000	0.000	0.000	2.811	1.085	2.672	2.046	2.355	na	5.110	5.347	1.072	0.000	17.650	0.000	0.000	0.000	0.000	17.650	0.000	32.033	0.000	0.000	14.383	0.000	0.000	4.612	2.516	-2.000	-2.000	-4.772	0.000	0.000	0.000	0.000	0.000	0.000	2	0	0	0	6	0	0.000	3.972	2	4	0	0	1	0	0	0	0	0	2	0	0.207
13	CC(=O)CC(=O)O	102.100	7.854	4	2	2	0	0.0	23.1	0.000	0.000	0.000	2.873	1.273	2.672	3.181	1.789	na	4.515	5.872	1.129	0.000	8.825	2.535	0.000	0.000	0.000	11.360	0.000	17.403	0.000	0.000	8.578	0.000	42.683	4.242	2.637	-2.000	-2.000	-4.772	0.000	0.000	0.000	0.000	0.000	0.000	1	1	0	0	5	0	0.000	0.000	1	4	0	0	0	0	0	0	0	0	3	0	0.127
14	CC(=O)Cl	78.500	11.214	3	1	0	0	0.0	14.3	0.000	0.000	0.000	2.210	1.003	0.000	1.326	0.000	na	3.299	6.159	0.626	0.000	8.825	0.000	0.000	0.000	0.000	8.825	0.000	53.422	0.000	0.000	5.449	0.000	0.000	4.825	1.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	0	3	0	0.000	0.000	0	2	0	0	0	0	0	2	0	0	0	0	0.041
15	C#C	26.040	6.510	2	1	0	0	0.0	0.0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.816	0.419	0.210	0.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0.489
16	C=CC=O	56.070	7.009	2	2	1	0	0.0	12.5	0.000	0.000	0.000	2.056	0.372	3.132	2.375	0.000	na	2.149	2.058	0.714	0.000	0.000	15.767	9.476	0.000	0.000	0.000	20.900	36.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	0.000	0.000	0	1	1	0	0	0	0	0	0	0	1	0	0.009
17	C=CC(=O)O	72.070	8.008	3	2	1	0	0.0	22.2	0.000	0.000	0.000	2.250	0.542	3.916	2.948	2.336	na	2.308	2.868	0.731	0.000	0.000	15.767	9.476	0.000	0.000	0.000	9.476	26.153	0.000	0.000	0.910	0.000	42.683	2.873	1.651	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	0.000	0.000	1	2	2	0	0	0	0	0	0	0	2	0	0.001
18	C(CCC(=O)O)CC(=O)O	146.160	7.308	4	2	5	0	0.0	20.0	0.000	0.000	0.000	2.897	1.995	1.625	2.922	1.400	na	7.589	11.562	1.812	1.966	0.000	10.138	0.000	0.000	0.000	10.138	0.000	11.958	0.000	0.000	11.958	0.000	85.367	3.925	3.785	0.636	-1.592	-2.000	-2.000	-3.715	-4.324	0.000	0.000	0.000	0	4	4	0	4	0	0.000	0.000	2	4	4	4	0	0	0	0	0	0	4	0	0.189
19	c1ccc2c(c1)cccc2O	144.180	7.588	1	11	0	0	0.0	5.3	0.000	0.000	34.168	3.371	2.498	1.476	3.537	0.000	11.651	5.438	8.115	1.749	0.799	0.000	0.000	66.334	0.000	0.000	0.000	0.000	71.480	0.000	0.000	5.146	0.000	42.683	0.000	1.163	2.814	1.968	-0.480	-1.478	-2.121	-3.453	-4.585	-5.356	0.000	0	0	0	7	0	0	0.000	0.000	0	2	3	1	5	0	0	0	0	0	3	0	6.954
20	Cc1ccccn1	93.140	6.653	1	6	0	0	7.1	0.0	0.000	0.000	0.000	0.979	1.471	2.022	3.468	0.340	6.593	4.860	5.266	1.258	0.000	8.825	0.000	28.429	0.000	0.000	20.629	16.786	49.058	0.000	0.000	2.757	0.000	0.000	0.000	1.471	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	1	0	0	3	3	0	3.979	0.000	0	3	1	0	1	0	0	0	0	2	0	0	0.716
21	c1ccc(cc1)N	93.140	6.653	1	6	0	0	7.1	0.0	0.000	0.000	0.000	1.358	1.411	2.022	2.896	0.714	6.593	4.476	5.536	1.190	0.000	0.000	0.000	80.278	0.000	0.000	0.000	0.000	50.138	0.000	0.000	2.757	0.000	32.897	0.000	2.500	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	0	0	0	5	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	1	0	0	2.268
22	c1ccc(c(c1)C(=O)O)N	137.150	8.068	3	7	1	0	5.9	11.8	0.000	0.000	0.000	3.342	1.892	1.869	3.852	0.118	9.663	4.524	6.309	1.421	1.053	0.000	0.000	70.802	0.000	0.000	0.000	0.000	44.757	0.000	0.000	6.852	0.000	75.581	2.873	5.027	2.304	-0.520	-2.000	-2.016	-3.459	-5.184	-6.295	0.000	0.000	0	0	0	4	0	0	0.000	0.000	1	2	2	2	0	0	0	0	0	1	4	0	2.700
23	c1ccc(cc1)C(Cl)Cl	161.030	10.735	2	6	0	0	0.0	0.0	0.000	0.000	0.000	1.457	2.808	1.764	3.057	0.667	8.605	9.040	4.756	1.045	3.073	0.000	0.000	47.381	0.000	0.000	0.000	0.000	128.864	0.000	0.000	3.186	0.000	0.000	3.211	4.510	2.136	-1.582	-2.000	-2.347	-4.789	-5.459	0.000	0.000	0.000	1	0	0	5	0	0	0.000	0.000	0	0	0	0	4	0	0	0	0	0	0	4	12.439
24	c1ccc(cc1)C=O	106.130	7.581	1	7	1	0	0.0	7.1	0.000	0.000	0.000	3.006	1.529	1.782	3.039	0.571	7.596	3.950	5.219	1.297	3.791	0.000	0.000	47.381	0.000	0.000	0.000	11.424	61.991	0.000	0.000	3.186	0.000	0.000	0.000	0.000	0.604	-1.393	-2.347	-4.096	-4.789	0.000	0.000	0.000	0.000	0	0	0	5	0	0	0.000	0.000	0	1	2	1	0	0	0	0	0	0	2	0	3.129
25	c1ccc(cc1)CO	108.150	6.759	1	6	1	0	0.0	6.3	0.000	0.000	0.000	2.538	1.644	1.782	3.203	0.625	7.596	5.552	6.561	1.615	1.428	0.000	0.000	90.065	0.000	42.683	0.000	0.000	50.567	0.000	0.000	3.186	0.000	42.683	1.529	5.394	0.604	-1.393	-2.347	-4.096	-4.789	0.000	0.000	0.000	0.000	1	0	0	7	0	0	0.000	0.000	0	1	2	1	0	0	0	0	0	0	2	0	2.532
26	c1ccc(cc1)CCl	126.590	8.439	1	6	0	0	0.0	0.0	0.000	0.000	0.000	1.416	1.886	1.782	3.057	0.667	7.596	6.748	6.252	1.324	2.633	0.000	2.850	47.381	0.000	0.000	2.850	39.149	92.565	0.000	0.000	6.035	0.000	0.000	2.060	4.383	0.604	-1.393	-2.347	-4.096	-4.789	0.000	0.000	0.000	0.000	1	0	0	7	0	0	0.000	0.000	0	0	0	0	2	0	0	0	0	0	0	2	8.653
27	CC(C)(c1ccc(cc1)O)c2ccc(cc2)O	228.310	6.918	4	12	2	0	0.0	6.1	0.000	0.000	0.000	3.296	4.719	0.996	3.302	1.743	17.629	11.694	16.452	3.375	0.622	17.650	0.000	75.810	0.000	0.000	17.650	0.000	99.832	0.000	0.000	6.371	0.000	85.367	1.360	17.514	5.477	3.672	2.275	2.275	-0.388	-0.593	-3.000	-3.000	-5.275	2	0	6	8	0	0	0.000	0.000	0	4	4	2	16	0	0	0	0	0	4	0	10.928
28	B(F)(F)F	67.810	16.953	3	0	0	3	0.0	0.0	0.000	0.000	0.000	1.667	0.247	0.000	0.000	0.000	na	0.087	0.000	1.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0.298
29	CCCBr	123.000	11.182	2	0	0	0	0.0	0.0	0.000	0.000	0.000	0.498	1.482	3.132	2.349	0.000	na	14.204	17.552	1.231	0.000	8.825	4.939	0.000	45.954	0.000	13.764	0.000	59.718	0.000	0.000	4.939	45.954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	1	3	2	0	2	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	4.106
30	CS(=O)(=O)OCCCCOS(=O)(=O)C	246.340	8.798	6	4	7	0	0.0	21.4	0.000	0.000	0.000	3.474	6.047	1.463	3.039	1.768	na	20.001	22.227	3.633	0.927	14.381	14.254	15.500	0.000	17.091	14.254	15.500	44.134	0.000	15.500	14.254	0.000	0.000	6.648	4.630	2.354	0.697	-1.206	-3.000	-3.000	-3.000	-3.000	-3.013	0.000	0	2	0	10	0	4	0.000	8.857	6	2	2	4	0	0	0	0	0	0	6	0	0.250
31	CCCCOC(=O)C	116.180	5.809	3	1	4	0	0.0	10.0	0.000	0.000	0.000	3.096	1.694	1.812	3.546	0.992	na	8.250	8.893	1.867	0.894	17.650	9.661	0.000	0.000	0.000	27.312	0.000	34.503	0.000	0.000	16.853	0.000	0.000	4.174	2.837	-0.576	-2.000	-2.489	-4.115	0.000	0.000	0.000	0.000	0.000	2	2	5	2	3	2	0.000	4.643	1	3	1	1	1	0	0	0	0	0	2	0	1.886
32	C(C(=O)O)Cl	94.500	11.813	3	1	0	0	0.0	25.0	0.000	0.000	0.000	2.236	0.795	3.916	2.375	0.000	na	4.559	2.955	0.699	0.000	0.000	2.850	0.000	0.000	0.000	2.850	39.149	42.908	0.000	0.000	3.759	0.000	42.683	4.200	1.638	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	2	0	0	0.000	0.000	1	0	2	0	0	0	0	6	0	0	0	0	0.018
33	C(C(=O)Cl)Cl	112.940	16.134	3	1	0	0	0.0	14.3	0.000	0.000	0.000	2.446	1.178	3.916	1.720	0.000	na	7.628	6.684	0.422	0.000	0.000	2.850	0.000	0.000	0.000	2.850	39.149	86.595	0.000	0.000	8.298	0.000	0.000	4.936	1.424	-3.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	2	0	0	0.000	0.000	0	1	1	0	0	0	0	5	0	0	0	0	0.429
34	COCCl	80.520	8.947	2	0	0	0	0.0	11.1	0.000	0.000	0.000	0.853	0.616	3.132	2.067	0.000	na	7.965	1.406	0.816	0.000	10.883	4.907	0.000	0.000	11.000	4.907	0.000	54.939	0.000	0.000	4.907	0.000	0.000	2.885	1.386	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	3	0	0	0.000	4.307	0	1	0	0	0	0	0	2	0	0	0	1	0.120
35	c1ccc(c(c1)[N](=O)[O])Cl	157.560	11.254	3	7	1	0	7.1	14.3	0.000	0.000	0.000	3.143	2.116	1.869	3.664	0.000	9.663	0.941	5.382	1.020	3.543	6.545	0.000	37.905	39.149	0.000	0.000	45.693	83.311	0.000	0.000	6.257	0.000	0.000	2.393	5.200	2.304	-0.520	-2.000	-2.016	-3.459	-5.184	-6.295	0.000	0.000	0	0	0	4	0	0	0.000	0.000	1	1	5	2	1	3	0	8	0	1	4	2	3.780
36	CC(C(=O)O)Cl	108.530	9.866	4	1	1	0	0.0	18.2	0.000	0.000	0.000	2.567	1.609	3.971	3.027	2.634	na	5.227	10.358	1.029	0.000	8.825	0.000	0.000	0.000	0.000	8.825	39.149	48.884	0.000	0.000	0.910	0.000	42.683	4.200	2.753	-2.000	-4.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	1	0	1	0	3	0.000	0.000	1	0	4	0	0	0	0	6	0	0	2	0	0.344
37	CC(C)c1ccccc1	120.210	5.724	2	6	1	0	0.0	0.0	0.000	0.000	0.000	0.204	2.565	1.764	3.046	1.215	8.605	7.841	9.347	2.254	0.741	17.650	0.000	47.381	0.000	0.000	17.650	0.000	68.217	0.000	0.000	3.186	0.000	0.000	0.000	2.941	2.136	-1.582	-2.000	-2.347	-4.789	-5.459	0.000	0.000	0.000	2	0	7	5	0	0	0.000	0.000	0	0	0	0	5	0	0	0	0	0	0	0	10.620
38	C(C#N)C(=O)O	85.070	9.452	3	2	1	0	11.1	22.2	0.000	0.000	0.000	2.377	0.729	2.636	2.948	2.465	na	1.898	2.912	0.634	0.000	0.000	2.535	0.000	0.000	0.000	33.594	0.000	20.046	0.000	0.000	3.444	16.602	42.683	5.354	1.710	-2.000	-3.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	1	0	0	2	0	0.000	0.000	1	3	0	0	0	0	0	0	0	1	2	0	0.656
39	C(#N)Cl	61.470	20.490	2	1	0	0	33.3	0.0	0.000	0.000	0.000	1.085	0.254	0.000	0.000	0.000	na	0.672	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	31.059	39.149	56.065	0.000	0.000	0.000	16.917	0.000	4.740	0.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0	1	0	0	0	2	0	0	0	1	0	0	0.101
40	c1(nc(nc(n1)Cl)Cl)Cl	184.410	20.490	3	6	0	0	33.3	0.0	0.000	0.000	0.000	1.208	2.157	1.903	1.585	1.585	na	6.402	6.420	0.129	0.000	0.000	0.000	0.000	0.000	0.000	7.929	50.357	125.375	0.000	0.000	7.929	0.000	0.000	0.000	3.846	-0.891	-0.891	-1.583	-4.072	-4.072	-6.000	0.000	0.000	0.000	0	0	0	0	0	0	10.376	0.000	3	6	0	0	3	24	0	0	0	6	0	6	5.614
41	C1CCCCC1	84.180	4.677	0	0	0	0	0.0	0.0	0.000	0.000	0.000	0.000	2.121	2.056	0.918	3.252	na	7.270	7.829	2.046	0.000	0.000	15.207	0.000	0.000	0.000	15.207	0.000	15.207	0.000	0.000	15.207	0.000	0.000	0.000	0.000	-2.000	-2.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6	12	0	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	9.760
42	C1CCC(CC1)O	100.180	5.273	1	0	0	0	0.0	5.3	0.000	0.000	0.000	2.909	2.292	2.022	2.800	1.158	6.593	8.417	10.638	2.057	0.000	0.000	12.673	42.683	0.000	42.683	12.673	0.000	12.673	0.000	0.000	12.673	0.000	42.683	0.000	1.163	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	0	6	6	1	0	4	0.000	0.000	0	2	2	0	0	0	0	0	0	0	2	0	1.428
43	C1CCC(=O)CC1	98.160	5.774	1	1	0	0	0.0	5.9	0.000	0.000	0.000	3.463	2.099	2.022	2.793	1.294	6.593	7.408	9.681	1.885	0.000	0.000	12.673	0.000	0.000	0.000	12.673	0.000	17.806	0.000	0.000	17.806	0.000	0.000	3.677	2.684	-0.838	-2.347	-3.206	-4.789	0.000	0.000	0.000	0.000	0.000	0	5	6	0	4	0	0.000	0.000	0	2	2	0	0	0	0	0	0	0	2	0	1.103
44	COC	46.080	5.120	2	0	0	0	0.0	11.1	0.000	0.000	0.000	0.750	0.408	0.000	0.872	0.000	na	2.892	1.178	0.482	0.000	21.766	0.000	0.000	0.000	11.000	0.000	0.000	21.766	0.000	0.000	0.000	0.000	0.000	1.720	1.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	4.250	0	0	0	0	0	0	0	0	0	0	0	0	0.030
45	COC(=O)CC(=O)OC	132.130	7.772	4	2	4	0	0.0	23.5	0.000	0.000	0.000	3.258	1.329	2.282	2.587	1.741	na	7.607	5.977	1.339	2.652	21.766	2.535	0.000	0.000	0.000	2.535	0.000	38.683	0.000	0.000	16.917	0.000	0.000	4.455	3.472	0.261	-1.252	-2.834	-3.144	-5.153	0.000	0.000	0.000	0.000	0	1	0	6	2	0	0.000	8.366	2	4	0	0	0	0	0	0	0	0	6	0	0.003
46	COS(=O)(=O)OC	126.150	9.704	4	2	2	0	0.0	30.8	0.000	0.000	0.000	2.924	2.225	4.096	2.046	2.770	na	7.785	8.693	1.232	0.000	21.766	0.000	9.454	0.000	17.091	0.000	9.454	31.220	0.000	9.454	0.000	0.000	0.000	7.188	1.901	-3.000	-3.936	-4.828	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	7.674	6	0	0	0	0	0	0	0	0	0	6	0	0.263
47	CSC	62.150	6.906	2	0	0	0	0.0	0.0	0.000	0.000	0.000	0.042	1.225	0.000	0.872	0.000	na	7.798	1.252	1.243	0.000	14.381	0.000	0.000	0.000	0.000	0.000	0.000	46.600	0.000	0.000	32.220	0.000	0.000	5.900	0.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0.713
48	CS(=O)C	78.150	7.815	3	1	0	0	0.0	10.0	0.000	0.000	0.000	2.556	2.225	0.000	1.239	0.000	na	9.390	3.504	1.474	0.000	14.381	0.000	19.133	0.000	0.000	0.000	0.000	33.513	0.000	0.000	0.000	0.000	0.000	5.900	0.818	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0.101
49	CC(=O)N(C)C	87.140	5.809	4	1	0	0	6.7	6.7	0.000	0.000	0.000	3.069	1.413	3.971	2.423	2.914	na	5.863	5.721	1.038	0.000	25.618	3.124	0.000	0.000	0.000	11.950	0.000	30.323	0.000	0.000	4.705	0.000	0.000	3.348	3.752	-2.000	-4.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	6	3	0	0.000	0.000	1	2	0	0	0	0	0	0	0	3	2	0	0.032
50	CNC	45.100	4.510	2	0	0	0	10.0	0.0	0.000	0.000	0.000	0.250	0.500	0.000	1.239	0.000	na	2.647	1.601	0.524	0.000	16.793	0.000	18.011	0.000	0.000	18.011	0.000	16.793	0.000	0.000	0.000	18.011	18.011	0.800	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	6	0	0	0.000	0.000	0	0	0	0	0	0	0	0	0	2	0	0	0.030
51	C1COCCO1	88.120	6.294	0	0	0	0	0.0	14.3	0.000	0.000	0.000	1.444	1.225	2.056	1.379	2.429	na	7.285	7.174	1.217	0.000	0.000	18.370	0.000	0.000	22.000	18.370	0.000	18.370	0.000	0.000	18.370	0.000	0.000	1.720	5.614	-2.000	-2.000	-4.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	8	0	0	0.000	9.889	0	0	0	0	0	0	0	0	0	0	0	0	0.224
52	CCCNCCC	101.220	4.601	2	0	4	0	4.5	0.0	0.000	0.000	0.000	0.785	1.750	1.730	2.754	1.908	na	7.628	7.761	1.947	0.247	17.650	9.280	18.011	0.000	0.000	44.942	0.000	26.931	0.000	0.000	9.280	18.011	18.011	0.800	7.500	-0.586	-2.000	-3.414	0.000	0.000	0.000	0.000	0.000	0.000	2	2	6	4	0	4	0.000	0.000	0	0	0	0	1	0	0	0	0	2	0	0	2.519
53	CC(CO)OCC(C)OC	148.230	5.701	4	0	5	0	0.0	11.5	0.000	0.000	0.000	2.555	2.373	1.932	3.613	0.702	na	11.577	13.295	2.199	0.974	28.533	4.592	42.683	0.000	64.683	22.243	0.000	33.126	0.000	0.000	4.592	0.000	42.683	1.720	8.762	0.396	0.000	-2.373	-2.878	-3.498	-4.798	0.000	0.000	0.000	3	2	0	9	0	6	0.000	10.107	0	2	2	1	0	0	0	0	0	0	2	0	0.050
54	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O	393.400	7.868	10	5	16	0	6.0	20.0	0.000	0.000	0.000	3.965	5.666	1.823	3.291	1.832	na	20.005	28.811	3.558	0.714	0.000	18.951	0.000	0.000	0.000	28.324	0.000	23.501	0.000	0.000	23.501	0.000	213.417	4.004	21.155	5.051	5.051	4.631	4.162	3.989	1.711	0.848	-0.661	-2.000	0	0	0	18	0	0	0.000	0.000	5	0	0	0	0	0	0	0	0	9	0	0	2.809
