,MW,AMW,nTA,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr09,D/Dtr10,MAXDP,X2v,Yindex,IC3,CIC5,ATSC2m,ATSC3m,ATSC1p,GATS6e,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_v_3,P_VSA_p_4,P_VSA_s_1,P_VSA_s_3,P_VSA_s_5,P_VSA_ppp_D,SpDiam_EA(dm),Chi1_EA(dm),SM13_AEA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM03_AEA(ri),SM04_AEA(ri),SM05_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SaaN,SssO,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F01[C-N],F03[C-O],F03[C-Cl],MLOGP2
13,78.5,11.214,3,1,0,0,0.0,14.3,0.0,0.0,0.0,2.21,1.003,0.0,1.326,0.0,3.299,6.159,0.626,0.0,8.825,0.0,0.0,0.0,0.0,8.825,0.0,53.422,0.0,0.0,5.449,0.0,0.0,4.825,1.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,0,0,0.041
14,26.04,6.51,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.419,0.21,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.489
15,56.07,7.009,2,2,1,0,0.0,12.5,0.0,0.0,0.0,2.056,0.372,3.132,2.375,0.0,2.149,2.058,0.714,0.0,0.0,15.767,9.476,0.0,0.0,0.0,20.9,36.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0.009
16,72.07,8.008,3,2,1,0,0.0,22.2,0.0,0.0,0.0,2.25,0.542,3.916,2.948,2.336,2.308,2.868,0.731,0.0,0.0,15.767,9.476,0.0,0.0,0.0,9.476,26.153,0.0,0.0,0.91,0.0,42.683,2.873,1.651,-3.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,1,2,2,0,0,0,0,0,0,0,2,0,0.001
17,146.16,7.308,4,2,5,0,0.0,20.0,0.0,0.0,0.0,2.897,1.995,1.625,2.922,1.4,7.589,11.562,1.812,1.966,0.0,10.138,0.0,0.0,0.0,10.138,0.0,11.958,0.0,0.0,11.958,0.0,85.367,3.925,3.785,0.636,-1.592,-2.0,-2.0,-3.715,-4.324,0.0,0.0,0.0,0,4,4,0,4,0,0.0,0.0,2,4,4,4,0,0,0,0,0,0,4,0,0.189
18,144.18,7.588,1,11,0,0,0.0,5.3,0.0,0.0,34.168,3.371,2.498,1.476,3.537,0.0,5.438,8.115,1.749,0.799,0.0,0.0,66.334,0.0,0.0,0.0,0.0,71.48,0.0,0.0,5.146,0.0,42.683,0.0,1.163,2.814,1.968,-0.48,-1.478,-2.121,-3.453,-4.585,-5.356,0.0,0,0,0,7,0,0,0.0,0.0,0,2,3,1,5,0,0,0,0,0,3,0,6.954
19,93.14,6.653,1,6,0,0,7.1,0.0,0.0,0.0,0.0,0.979,1.471,2.022,3.468,0.34,4.86,5.266,1.258,0.0,8.825,0.0,28.429,0.0,0.0,20.629,16.786,49.058,0.0,0.0,2.757,0.0,0.0,0.0,1.471,-0.838,-2.347,-3.206,-4.789,0.0,0.0,0.0,0.0,0.0,1,0,0,3,3,0,3.979,0.0,0,3,1,0,1,0,0,0,0,2,0,0,0.716
20,93.14,6.653,1,6,0,0,7.1,0.0,0.0,0.0,0.0,1.358,1.411,2.022,2.896,0.714,4.476,5.536,1.19,0.0,0.0,0.0,80.278,0.0,0.0,0.0,0.0,50.138,0.0,0.0,2.757,0.0,32.897,0.0,2.5,-0.838,-2.347,-3.206,-4.789,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2.268
21,137.15,8.068,3,7,1,0,5.9,11.8,0.0,0.0,0.0,3.342,1.892,1.869,3.852,0.118,4.524,6.309,1.421,1.053,0.0,0.0,70.802,0.0,0.0,0.0,0.0,44.757,0.0,0.0,6.852,0.0,75.581,2.873,5.027,2.304,-0.52,-2.0,-2.016,-3.459,-5.184,-6.295,0.0,0.0,0,0,0,4,0,0,0.0,0.0,1,2,2,2,0,0,0,0,0,1,4,0,2.7
22,161.03,10.735,2,6,0,0,0.0,0.0,0.0,0.0,0.0,1.457,2.808,1.764,3.057,0.667,9.04,4.756,1.045,3.073,0.0,0.0,47.381,0.0,0.0,0.0,0.0,128.864,0.0,0.0,3.186,0.0,0.0,3.211,4.51,2.136,-1.582,-2.0,-2.347,-4.789,-5.459,0.0,0.0,0.0,1,0,0,5,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,4,12.439
