,MW,AMW,nBM,RBN,nDB,nN,nF,O%,D/Dtr03,D/Dtr05,D/Dtr10,BLI,MAXDP,Psi_i_A,Psi_e_1d,Vindex,Yindex,CIC3,CIC5,VE3sign_B(i),ATSC2m,ATSC1p,MATS6m,GATS3v,GATS4v,GATS5e,GATS7e,GATS8e,GATS1p,GATS3s,GATS4s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_s_1,P_VSA_s_3,P_VSA_ppp_N,SpMAD_EA(dm),SM13_AEA(bo),SM15_AEA(dm),SM06_AEA(ri),SM09_AEA(ri),Eig02_EA(dm),Eig03_EA(dm),Eig04_EA(dm),Eig09_AEA(dm),Eig10_AEA(dm),nCp,nCrs,nCconj,C-005,C-026,H-046,H-047,H-051,H-052,O-059,SdCH2,StN,CATS2D_04_DD,CATS2D_02_DA,CATS2D_02_DL,CATS2D_06_DL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_LL,T(N..Cl),T(O..F),T(F..Cl),F03[C-O],F03[C-Cl],F03[O-Cl],F05[C-Cl],MLOGP2
10,148.27,5.491,6,1,0,0,0,0.0,0.0,0.0,0.0,1.11,0.234,1.871,-0.014,0.531,1.648,1.853,1.705,-0.642,10.435,2.963,0.144,1.496,0.936,0.945,1.994,0.0,1.182,1.446,1.053,35.301,0.0,0.0,0.0,35.301,0.0,0.0,6.371,0.0,0.0,-0.214,-3.0,-6.87,0.0,0.0,0.0,0.0,-1.0,-1.538,4,0,0,0,0,12,4,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14.851
11,44.06,6.294,1,0,1,0,0,14.3,0.0,0.0,0.0,1.22,1.806,3.667,1.402,2.042,0.0,1.481,0.0,-0.176,2.158,0.559,0.0,0.402,0.0,0.0,0.0,0.0,1.74,1.871,0.0,8.825,0.0,0.0,0.0,8.825,11.424,0.0,0.0,0.0,1.277,0.0,0.0,0.0,0.0,-1.277,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.101
12,135.18,7.115,7,1,1,1,0,5.3,0.0,0.0,0.0,0.924,2.756,2.433,0.026,0.486,1.435,0.816,0.671,-0.735,6.267,1.725,-0.091,0.966,0.957,1.504,0.652,0.0,1.036,1.415,0.642,8.825,0.0,0.0,0.0,25.611,0.0,0.0,2.757,0.0,0.369,-0.152,-2.0,0.0,0.0,0.15,0.0,0.0,-1.472,-2.0,1,0,1,0,1,0,5,3,0,0,0.0,0.0,0,1,1,1,4,2,1,0,0,0,1,0,0,0,4.135
13,60.06,7.507,1,0,1,0,0,25.0,0.0,0.0,0.0,0.928,2.0,4.167,-1.03,1.592,0.0,0.969,0.0,-0.13,2.72,0.537,0.0,1.095,0.0,0.0,0.0,0.0,1.628,2.271,0.0,8.825,0.0,0.0,0.0,8.825,0.0,0.0,0.91,0.91,1.561,0.0,0.0,0.0,0.0,-0.757,-1.584,0.0,0.0,0.0,1,0,0,0,0,0,0,3,0,0,0.0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0.149
14,102.1,7.854,2,2,2,0,0,23.1,0.0,0.0,0.0,0.908,2.811,3.548,0.254,0.875,2.672,1.655,2.355,-0.206,5.11,1.072,1.109,0.72,1.509,1.467,0.0,0.0,1.763,2.055,0.558,17.65,0.0,0.0,0.0,17.65,0.0,0.0,14.383,0.0,1.592,-1.0,-4.772,0.0,0.0,2.112,-0.366,-1.024,0.0,0.0,2,0,0,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0.207
15,102.1,7.854,2,2,2,0,0,23.1,0.0,0.0,0.0,0.919,2.873,3.833,0.249,0.875,2.672,0.52,1.789,-0.208,4.515,1.129,1.109,1.222,0.644,2.518,0.0,0.0,1.422,1.815,0.238,8.825,2.535,0.0,0.0,11.36,0.0,0.0,8.578,0.91,1.527,-1.0,-4.772,0.0,0.0,2.076,-0.342,-1.029,0.0,0.0,1,0,0,0,0,0,0,5,0,0,0.0,0.0,0,1,1,0,4,0,0,0,0,0,3,0,0,0,0.127
16,58.09,5.809,1,0,1,0,0,10.0,0.0,0.0,0.0,1.204,2.444,3.167,-1.014,1.592,0.0,2.083,0.0,-0.124,3.339,0.908,0.0,1.495,0.0,0.0,0.0,0.0,1.66,2.691,0.0,17.65,0.0,0.0,0.0,17.65,0.0,0.0,5.133,0.0,1.452,0.0,0.0,0.0,0.0,-0.68,-1.498,0.0,0.0,0.0,2,0,0,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.041
17,78.5,11.214,1,0,1,0,0,14.3,0.0,0.0,0.0,1.271,2.21,3.694,-1.024,1.592,0.0,1.481,0.0,-0.128,3.299,0.626,0.0,1.495,0.0,0.0,0.0,0.0,0.901,2.244,0.0,8.825,0.0,0.0,0.0,8.825,0.0,0.0,5.449,0.0,1.911,0.0,0.0,0.0,0.0,-0.907,-1.959,0.0,0.0,0.0,1,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.041
18,26.04,6.51,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,-1.498,0.0,0.0,1.5,0.0,-0.607304964539,0.419,0.288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489
19,56.07,7.009,2,1,2,0,0,12.5,0.0,0.0,0.0,0.977,2.056,3.5,-1.039,1.089,3.132,0.625,0.0,-0.608,2.149,0.714,0.0,0.884,0.377,0.0,0.0,0.0,1.328,0.86,2.136,0.0,15.767,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,3,0,0,0,3.111,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.009
20,72.07,8.008,2,1,2,0,0,22.2,0.0,0.0,0.0,0.843,2.25,3.933,0.682,1.106,3.916,0.222,2.336,-0.342,2.308,0.731,0.0,1.002,0.944,0.0,0.0,0.0,1.225,1.165,1.974,0.0,15.767,0.0,0.0,0.0,9.476,0.0,0.91,0.91,0.718,0.0,0.0,0.0,0.0,0.0,0.0,-1.437,0.0,0.0,0,0,3,0,0,0,3,0,0,0,2.961,0.0,0,1,1,0,2,2,0,0,0,0,2,0,0,0,0.001
21,146.16,7.308,2,5,2,0,0,20.0,0.0,0.0,0.0,1.021,2.897,3.533,-0.047,0.624,1.625,1.4,1.4,-0.607304964539,7.589,1.812,-0.234,1.032,0.913,1.322,0.015,3.239,1.406,1.014,1.001,0.0,10.138,0.0,0.0,10.138,0.0,0.0,11.958,1.82,1.04,-0.705,-2.0,0.0,0.0,2.341,0.0,0.0,-1.703,0.0,0,0,0,0,0,4,0,4,0,0,0.0,0.0,0,2,2,0,4,4,0,0,0,0,4,0,0,0,0.189
22,76.53,8.503,1,0,1,0,0,0.0,0.0,0.0,0.0,1.618,0.957,2.653,-1.02,1.089,3.132,0.797,0.0,-0.422,5.412,0.857,0.0,0.89,0.709,0.0,0.0,0.0,0.925,0.771,1.281,0.0,18.616,0.0,0.0,2.85,48.625,0.0,2.85,0.0,0.687,0.0,0.0,0.0,0.0,0.0,-1.03,0.0,0.0,0.0,1,0,0,0,0,0,5,0,0,0,3.347,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.795
23,144.18,7.588,11,0,0,0,0,5.3,0.0,0.0,34.168,0.886,3.371,2.273,-0.110592105263,0.45,1.476,0.711,0.0,-1.125,5.438,1.749,0.322,1.003,1.192,1.502,0.0,0.0,0.758,0.88,1.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146,0.0,0.0,0.876,-0.48,-5.356,0.0,0.0,0.0,0.0,-1.25,-1.637,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0,0,2,0,2,3,0,0,0,0,3,0,0,0,6.954
24,93.14,6.653,6,0,0,1,0,0.0,0.0,0.0,0.0,0.973,0.979,2.095,-0.148,0.643,2.022,0.34,0.34,-0.592,4.86,1.258,0.992,1.068,1.264,0.178,0.0,0.0,1.11,1.616,0.994,8.825,0.0,0.0,0.0,20.629,16.786,0.0,2.757,0.0,0.0,-1.0,-3.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3,3,0,0,0.0,0.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.716
25,93.14,6.653,6,0,0,1,0,0.0,0.0,0.0,0.0,0.943,1.358,2.238,-0.147,0.643,2.022,0.911,0.714,-0.589,4.476,1.19,0.992,1.201,0.994,0.874,0.0,0.0,0.815,1.117,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.757,0.0,0.0,-1.0,-3.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.268
26,137.15,8.068,7,1,1,1,0,11.8,0.0,0.0,0.0,0.838,3.342,3.0,0.026,0.57,1.869,0.235,0.118,-0.798,4.524,1.421,0.486,1.146,1.231,2.077,0.0,0.0,0.782,0.78,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.852,0.91,0.287,-0.243,-2.0,0.0,0.0,0.0,0.0,0.0,-1.619,-2.0,0,0,1,0,1,0,4,0,0,0,0.0,0.0,1,1,3,0,2,2,0,0,0,0,4,0,0,0,2.7
27,161.03,10.735,6,0,0,0,0,0.0,0.0,0.0,0.0,1.17,1.457,2.358,-0.047,0.558,1.764,0.85,0.667,-2.518,9.04,1.045,-1.072,0.953,1.076,2.078,0.0,0.0,0.657,0.519,1.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.186,0.0,0.447,-0.732,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1,0,0,0,0,0,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,12.439
28,106.13,7.581,7,1,1,0,0,7.1,0.0,0.0,0.0,0.913,3.006,2.583,0.084,0.573,1.782,0.768,0.571,-0.918,3.95,1.297,-0.182,1.149,1.009,2.33,0.0,0.0,0.927,0.529,1.368,0.0,0.0,0.0,0.0,0.0,11.424,0.0,3.186,0.0,0.0,-0.757,-2.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,3.129
29,108.15,6.759,6,1,0,0,0,6.3,0.0,0.0,0.0,0.968,2.538,2.396,0.084,0.573,1.782,0.797,0.625,-0.833,5.552,1.615,0.24,1.152,1.08,1.484,0.0,0.0,0.949,0.507,1.174,0.0,0.0,0.0,42.683,0.0,0.0,0.0,3.186,0.0,0.191,-0.757,-2.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,7,0,0,0,0.0,0.0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,2.532
30,126.59,8.439,6,0,0,0,0,0.0,0.0,0.0,0.0,1.15,1.416,2.16,0.084,0.573,1.782,0.85,0.667,-0.839,6.748,1.324,-0.375,1.076,1.023,1.823,0.0,0.0,0.788,0.617,1.134,0.0,2.85,0.0,0.0,2.85,39.149,0.0,6.035,0.0,0.257,-0.757,-2.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,7,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8.653
31,228.31,6.918,12,2,0,0,0,6.1,0.0,0.0,0.0,0.932,3.296,2.348,-0.110592105263,0.338,0.996,1.743,1.743,-1.207,11.694,3.375,0.231,1.194,1.191,0.237,2.971,1.913,0.917,0.889,0.691,17.65,0.0,0.0,0.0,17.65,0.0,0.0,6.371,0.0,0.076,1.31,2.275,-3.0,-3.066,0.0,0.0,0.0,0.058,-0.865,2,0,0,0,2,6,8,0,0,0,0.0,0.0,0,0,4,6,4,4,4,0,0,0,4,0,0,0,10.928
32,67.81,16.953,0,0,0,0,3,0.0,0.0,0.0,0.0,0.655,1.667,6.333,-1.062,1.592,0.0,0.0,0.0,-0.202,0.087,1.108,0.0,0.988030674847,0.723539877301,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298
33,123.0,11.182,0,0,0,0,0,0.0,0.0,0.0,0.0,2.596,0.498,1.937,-0.999,1.089,3.132,1.11,0.0,-0.825,14.204,1.231,0.0,0.788,1.014,0.0,0.0,0.0,0.789,0.798,1.554,8.825,4.939,45.954,0.0,13.764,0.0,0.0,4.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,3,2,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106
34,58.14,4.153,0,1,0,0,0,0.0,0.0,0.0,0.0,1.914,0.181,1.75,-0.995,1.089,3.132,1.965,3.283,-0.607304964539,3.801,1.37,0.0,0.843,0.758,0.0,0.0,0.0,1.75,0.713,1.167,17.65,5.069,0.0,0.0,22.719,0.0,0.0,5.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.447
35,246.34,8.798,4,7,4,0,0,21.4,0.0,0.0,0.0,1.737,3.474,3.345,-0.110592105263,0.576,1.463,1.768,1.768,-0.607304964539,20.001,3.633,-0.072,0.916,1.192,0.962,0.818,1.013,1.945,1.227,1.045,14.381,14.254,0.0,17.091,14.254,15.5,15.5,14.254,0.0,1.023,0.313,-1.206,-3.013,0.0,3.324,0.0,0.0,-0.152,-0.792,0,0,0,2,0,0,10,0,4,2,0.0,0.0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0.25
36,116.18,5.809,1,4,1,0,0,10.0,0.0,0.0,0.0,1.245,3.096,2.583,-0.147,0.68,1.812,0.775,0.992,-0.362,8.25,1.867,-0.149,0.864,1.056,1.207,1.159,0.0,1.755,1.194,1.046,17.65,9.661,0.0,0.0,27.312,0.0,0.0,16.853,0.0,0.78,-1.0,-2.489,0.0,0.0,0.286,0.0,0.0,0.0,0.0,2,0,0,0,0,5,2,3,2,0,0.0,0.0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,1.886
37,128.19,6.104,2,5,2,0,0,9.5,0.0,0.0,0.0,1.163,3.346,2.63,0.084,0.667,1.787,0.607,0.607,-0.781,8.366,2.033,-0.157,0.834,0.89,1.329,1.031,0.055,1.58,0.71,1.623,8.825,25.428,0.0,0.0,18.487,9.476,0.0,16.853,0.0,0.419,-0.42,-2.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,0,5,5,0,2,0,3.265,0.0,0,0,0,0,3,3,2,0,0,0,4,0,0,0,2.621
38,153.81,30.762,0,0,0,0,0,0.0,0.0,0.0,0.0,1.701,0.715,3.539,0.664,1.553,0.0,0.0,0.0,-0.087,0.914,0.036,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245,0.0,0.0,0.0,0.0,-0.83,-0.83,-0.83,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957
39,94.5,11.813,1,0,1,0,0,25.0,0.0,0.0,0.0,1.187,2.236,4.056,0.677,1.106,3.916,0.625,0.0,-0.259,4.559,0.699,0.0,0.902,0.893,0.0,0.0,0.0,0.805,1.764,0.268,0.0,2.85,0.0,0.0,2.85,39.149,0.0,3.759,0.91,1.454,0.0,0.0,0.0,0.0,0.434,-1.181,-1.727,0.0,0.0,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0.018
40,112.94,16.134,1,0,1,0,0,14.3,0.0,0.0,0.0,1.445,2.446,3.678,0.676,1.106,3.916,1.088,0.0,-0.255,7.628,0.422,0.0,1.159,0.0,0.0,0.0,0.0,0.631,1.638,0.0,0.0,2.85,0.0,0.0,2.85,39.149,0.0,8.298,0.0,1.714,0.0,0.0,0.0,0.0,0.468,-1.453,-1.975,0.0,0.0,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.429
41,86.47,17.294,0,0,0,0,2,0.0,0.0,0.0,0.0,1.091,2.099,5.361,-1.041,1.592,0.0,0.0,0.0,-0.153,2.885,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.0,8.43,0.0,8.43,39.149,0.0,0.0,0.0,2.035,0.0,0.0,0.0,0.0,-1.51,-1.543,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.86
42,80.52,8.947,0,0,0,0,0,11.1,0.0,0.0,0.0,1.499,0.853,2.778,-1.045,1.089,3.132,1.103,0.0,-0.522,7.965,0.816,0.0,1.602,0.806,0.0,0.0,0.0,1.304,0.416,1.116,10.883,4.907,0.0,11.0,4.907,0.0,0.0,4.907,0.0,0.962,0.0,0.0,0.0,0.0,0.0,-1.443,0.0,0.0,0.0,0,0,0,1,0,0,3,0,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.12
43,157.56,11.254,7,1,1,1,0,14.3,0.0,0.0,0.0,0.895,3.143,3.144,0.026,0.57,1.869,0.143,0.0,-0.775,0.941,1.02,-0.641,1.055,1.155,2.546,0.0,0.0,0.617,0.651,1.291,6.545,0.0,39.149,0.0,0.0,45.693,0.0,6.257,0.0,0.274,-0.243,-2.0,0.0,0.0,0.0,0.0,0.0,-1.493,-2.0,0,0,0,0,2,0,4,0,0,0,0.0,0.0,0,0,0,0,1,5,0,3,0,0,4,2,0,0,3.78
44,108.53,9.866,1,1,1,0,0,18.2,0.0,0.0,0.0,1.169,2.567,3.685,-0.415,1.088,3.971,0.432,2.634,-0.706,5.227,1.029,0.0,1.187,1.04,0.0,0.0,0.0,0.951,1.091,2.212,8.825,0.0,0.0,0.0,8.825,39.149,0.0,0.91,0.91,1.163,-1.562,0.0,0.0,0.0,0.434,0.0,-1.181,0.0,0.0,1,0,0,0,0,0,1,0,3,0,0.0,0.0,0,1,0,0,0,4,0,0,0,0,2,0,2,0,0.344
45,120.21,5.724,6,1,0,0,0,0.0,0.0,0.0,0.0,1.118,0.204,1.889,-0.047,0.558,1.764,1.346,1.215,-1.636,7.841,2.254,0.083,1.123,1.08,0.972,0.0,0.0,1.111,1.024,1.139,17.65,0.0,0.0,0.0,17.65,0.0,0.0,3.186,0.0,0.0,-0.732,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2,0,0,0,0,7,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62
46,85.07,9.452,2,1,1,1,0,22.2,0.0,0.0,0.0,0.815,2.377,4.111,-0.424,0.882,2.636,0.222,2.465,-0.276,1.898,0.634,0.0,0.99,0.524,0.931,0.0,0.0,1.145,1.879,0.052,0.0,2.535,0.0,0.0,33.594,0.0,0.0,3.444,0.91,1.916,-1.675,0.0,0.0,0.0,2.017,-0.675,-1.534,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0.0,7.606,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0.656
47,61.47,20.49,1,0,0,1,0,0.0,0.0,0.0,0.0,1.186,1.085,4.204,1.442,2.042,0.0,0.0,0.0,-0.197,0.672,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.0,31.059,39.149,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,-2.37,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,7.085,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.101
48,184.41,20.49,6,0,0,3,0,0.0,0.0,0.0,0.0,1.014,1.208,2.926,-0.048,0.595,1.903,1.585,1.585,-0.428,6.402,0.129,0.0,0.564,1.248,0.0,0.0,0.0,0.785,2.037,0.275,0.0,0.0,0.0,0.0,7.929,50.357,0.0,7.929,0.0,0.0,-0.347,-1.583,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,0,24,0,0,0,6,0,0,5.614
