MW,AMW,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr10,MAXDP,Psi_i_A,Yindex,CIC4,CIC5,VR1_D/Dt,SpDiam_B(m),ATSC2m,ATSC1p,GATS6m,GATS7s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_s_1,P_VSA_s_3,P_VSA_ppp_D,SpDiam_EA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM04_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SssO,CATS2D_02_DL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F03[C-O],F03[C-Cl],MLOGP2
58.09,5.809,1,0,0,0,10,0,0,2.444,3.167,0,2.88,0,NA,4.358,3.339,0.908,0,0,17.65,0,0,0,17.65,0,0,5.133,0,3.677,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.041
78.5,11.214,1,0,0,0,14.3,0,0,2.21,3.694,0,0,0,NA,4.738,3.299,0.626,0,0,8.825,0,0,0,8.825,0,0,5.449,0,4.825,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0.041
26.04,6.51,1,0,0,0,0,0,0,0,4,0,0,0,0.816,3.664,0.419,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489
56.07,7.009,2,1,0,0,12.5,0,0,2.056,3.5,3.132,1.75,0,NA,4.208,2.149,0.714,0,0,0,15.767,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.009
72.07,8.008,2,1,0,0,22.2,0,0,2.25,3.933,3.916,0.927,2.336,NA,4.613,2.308,0.731,0,0,0,15.767,0,0,0,9.476,0,0.91,42.683,2.873,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,2,0,0,0,0,0,0,2,0,0.001
146.16,7.308,2,5,0,0,20,0,0,2.897,3.533,1.625,1.4,1.4,NA,4.525,7.589,1.812,1.335,0.03,0,10.138,0,0,10.138,0,0,11.958,85.367,3.925,-1.592,-2,-2,-4.324,0,0,0,4,4,0,4,0,0,2,2,4,4,4,0,0,0,0,0,4,0,0.189
76.53,8.503,1,0,0,0,0,0,0,0.957,2.653,3.132,1.853,0,NA,4.437,5.412,0.857,0,0,0,18.616,0,0,2.85,48.625,0,2.85,0,2.06,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.795
144.18,7.588,11,0,0,0,5.3,0,34.168,3.371,2.273,1.476,0.211,0,11.651,5.74,5.438,1.749,0.871,0,0,0,0,0,0,0,0,5.146,42.683,0,1.968,-0.48,-1.478,-3.453,-5.356,0,0,0,0,7,0,0,0,2,0,2,3,1,5,0,0,0,0,3,0,6.954
93.14,6.653,6,0,0,7.1,0,0,0,0.979,2.095,2.022,0.34,0.34,6.593,5.097,4.86,1.258,0,0,8.825,0,0,0,20.629,16.786,0,2.757,0,0,-2.347,-3.206,-4.789,0,0,0,1,0,0,3,3,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0.716
93.14,6.653,6,0,0,7.1,0,0,0,1.358,2.238,2.022,0.714,0.714,6.593,5.095,4.476,1.19,0,0,0,0,0,0,0,0,0,2.757,32.897,0,-2.347,-3.206,-4.789,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.268
137.15,8.068,7,1,0,5.9,11.8,0,0,3.342,3,1.869,0.118,0.118,9.663,5.415,4.524,1.421,0.82,0,0,0,0,0,0,0,0,6.852,75.581,2.873,-0.52,-2,-2.016,-5.184,0,0,0,0,0,4,0,0,0,3,1,2,2,2,0,0,0,0,0,4,0,2.7
161.03,10.735,6,0,0,0,0,0,0,1.457,2.358,1.764,0.667,0.667,8.605,5.53,9.04,1.045,3.074,0,0,0,0,0,0,0,0,3.186,0,3.211,-1.582,-2,-2.347,-5.459,0,0,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,12.439
106.13,7.581,7,1,0,0,7.1,0,0,3.006,2.583,1.782,0.571,0.571,7.596,5.159,3.95,1.297,1.563,0,0,0,0,0,0,11.424,0,3.186,0,0,-1.393,-2.347,-4.096,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,3.129
108.15,6.759,6,1,0,0,6.3,0,0,2.538,2.396,1.782,0.625,0.625,7.596,5.099,5.552,1.615,0.796,0,0,0,0,42.683,0,0,0,3.186,42.683,1.529,-1.393,-2.347,-4.096,0,0,0,1,0,0,7,0,0,0,1,0,1,2,1,0,0,0,0,0,2,0,2.532
126.59,8.439,6,0,0,0,0,0,0,1.416,2.16,1.782,0.667,0.667,7.596,5.229,6.748,1.324,2.296,0,0,2.85,0,0,2.85,39.149,0,6.035,0,2.06,-1.393,-2.347,-4.096,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,8.653
228.31,6.918,12,2,0,0,6.1,0,0,3.296,2.348,0.996,1.743,1.743,17.629,5.547,11.694,3.375,0.744,2.871,17.65,0,0,0,17.65,0,0,6.371,85.367,1.36,3.672,2.275,2.275,-0.593,-3,-5.275,2,0,6,8,0,0,0,4,0,4,4,2,16,0,0,0,0,4,0,10.928
67.81,16.953,0,0,3,0,0,0,0,1.667,6.333,0,0,0,NA,3.871,0.087,1.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298
123,11.182,0,0,0,0,0,0,0,0.498,1.937,3.132,2.187,0,NA,7.393,14.204,1.231,0,0,8.825,4.939,45.954,0,13.764,0,0,4.939,0,0,0,0,0,0,0,0,2,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106
58.14,4.153,0,1,0,0,0,0,0,0.181,1.75,3.132,2.366,3.283,NA,3.417,3.801,1.37,0,0,17.65,5.069,0,0,22.719,0,0,5.069,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.447
246.34,8.798,4,7,0,0,21.4,0,0,3.474,3.345,1.463,1.768,1.768,NA,5.62,20.001,3.633,1.038,1.046,14.381,14.254,0,17.091,14.254,15.5,15.5,14.254,0,6.648,0.697,-1.206,-3,-3,-3.013,0,0,2,0,10,0,4,8.857,0,6,2,2,4,0,0,0,0,0,6,0,0.25
116.18,5.809,1,4,0,0,10,0,0,3.096,2.583,1.812,0.775,0.992,NA,4.446,8.25,1.867,1.058,1.929,17.65,9.661,0,0,27.312,0,0,16.853,0,4.174,-2,-2.489,-4.115,0,0,0,2,2,5,2,3,2,4.643,0,1,3,1,1,1,0,0,0,0,2,0,1.886
128.19,6.104,2,5,0,0,9.5,0,0,3.346,2.63,1.787,0.607,0.607,NA,4.656,8.366,2.033,1.062,1.722,8.825,25.428,0,0,18.487,9.476,0,16.853,0,3.349,-0.654,-2.417,-3.006,0,0,0,1,2,5,5,0,2,4.675,0,1,3,3,1,1,0,0,0,0,4,0,2.621
153.81,30.762,0,0,0,0,0,0,0,0.715,3.539,0,0,0,NA,4.815,0.914,0.036,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957
94.5,11.813,1,0,0,0,25,0,0,2.236,4.056,3.916,1.75,0,NA,4.689,4.559,0.699,0,0,0,2.85,0,0,2.85,39.149,0,3.759,42.683,4.2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0.018
112.94,16.134,1,0,0,0,14.3,0,0,2.446,3.678,3.916,0,0,NA,4.807,7.628,0.422,0,0,0,2.85,0,0,2.85,39.149,0,8.298,0,4.936,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0.429
86.47,17.294,0,0,2,0,0,0,0,2.099,5.361,0,0,0,NA,4.224,2.885,0.532,0,0,0,0,8.43,0,8.43,39.149,0,0,0,4.596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.86
80.52,8.947,0,0,0,0,11.1,0,0,0.853,2.778,3.132,1.807,0,NA,3.996,7.965,0.816,0,0,10.883,4.907,0,11,4.907,0,0,4.907,0,2.885,0,0,0,0,0,0,0,0,0,3,0,0,4.307,0,0,1,0,0,0,0,0,2,0,0,1,0.12
157.56,11.254,7,1,0,7.1,14.3,0,0,3.143,3.144,1.869,0,0,9.663,5.577,0.941,1.02,1.376,0,6.545,0,39.149,0,0,45.693,0,6.257,0,2.393,-0.52,-2,-2.016,-5.184,0,0,0,0,0,4,0,0,0,0,1,1,5,2,1,3,0,8,0,4,2,3.78
108.53,9.866,1,1,0,0,18.2,0,0,2.567,3.685,3.971,1.061,2.634,NA,4.91,5.227,1.029,0,0,8.825,0,0,0,8.825,39.149,0,0.91,42.683,4.2,-4.745,0,0,0,0,0,1,1,0,1,0,3,0,0,1,0,4,0,0,0,0,6,0,2,0,0.344
120.21,5.724,6,1,0,0,0,0,0,0.204,1.889,1.764,1.215,1.215,8.605,5.164,7.841,2.254,0.741,0,17.65,0,0,0,17.65,0,0,3.186,0,0,-1.582,-2,-2.347,-5.459,0,0,2,0,7,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10.62
85.07,9.452,2,1,0,11.1,22.2,0,0,2.377,4.111,2.636,0.927,2.465,NA,4.678,1.898,0.634,0,0,0,2.535,0,0,33.594,0,0,3.444,42.683,5.354,-3.851,0,0,0,0,0,0,1,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0.656
61.47,20.49,1,0,0,33.3,0,0,0,1.085,4.204,0,0,0,NA,4.69,0.672,0.028,0,0,0,0,0,0,31.059,39.149,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.101
184.41,20.49,6,0,0,33.3,0,0,0,1.208,2.926,1.903,1.585,1.585,NA,5.616,6.402,0.129,0,0,0,0,0,0,7.929,50.357,0,7.929,0,0,-0.891,-1.583,-4.072,-6,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,24,0,0,0,0,6,5.614
84.18,4.677,0,0,0,0,0,0,0,0,1.5,2.056,3.252,3.252,NA,4.002,7.27,2.046,0,0,0,15.207,0,0,15.207,0,0,15.207,0,0,-2,-4,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76
100.18,5.273,0,0,0,0,5.3,0,0,2.909,2.119,2.022,1.158,1.158,6.593,4.264,8.417,2.057,0,0,0,12.673,0,42.683,12.673,0,0,12.673,42.683,0,-2.347,-3.206,-4.789,0,0,0,0,6,6,1,0,4,0,2,0,2,2,0,0,0,0,0,0,2,0,1.428
98.16,5.774,1,0,0,0,5.9,0,0,3.463,2.31,2.022,1.294,1.294,6.593,4.578,7.408,1.885,0,0,0,12.673,0,0,12.673,0,0,17.806,0,3.677,-2.347,-3.206,-4.789,0,0,0,0,5,6,0,4,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1.103
84.93,16.986,0,0,0,0,0,0,0,0.653,3.241,0,0,0,NA,3.673,12.313,0.261,0,0,0,3.165,0,0,3.165,0,0,3.165,0,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86
105.16,5.842,0,4,0,5.6,11.1,0,0,2.149,2.929,1.73,1.333,1.565,NA,3.766,7.414,1.207,0.948,1.643,0,4.211,0,85.367,22.222,0,0,4.211,103.377,0.8,-2,-3.414,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
74.14,4.943,0,2,0,0,6.7,0,0,1.333,2.1,2.34,2.094,2.482,NA,3.605,5.42,1.254,0,0,17.65,9.185,0,11,26.835,0,0,9.185,0,1.72,0,0,0,0,0,0,2,0,0,4,0,6,4.833,0,0,2,0,0,1,0,0,0,0,0,0,0.64
106.14,6.244,0,4,0,0,17.6,0,0,2.086,3.071,1.73,1.412,1.652,NA,3.775,7.474,1.193,0.879,1.485,0,9.185,0,96.367,9.185,0,0,9.185,85.367,1.72,-2,-3.414,0,0,0,0,2,0,0,8,0,0,4.632,0,0,0,0,0,0,0,0,0,0,0,0,0.84
46.08,5.12,0,0,0,0,11.1,0,0,0.75,2.5,0,2.78,0,NA,3.129,2.892,0.482,0,0,21.766,0,0,11,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,6,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0.03
132.13,7.772,2,4,0,0,23.5,0,0,3.258,3.315,2.282,1.501,1.741,NA,4.74,7.607,1.339,2.284,0.129,21.766,2.535,0,0,2.535,0,0,16.917,0,4.455,-1.252,-2.834,-3.144,0,0,0,0,1,0,6,2,0,8.366,0,2,4,0,0,0,0,0,0,0,6,0,0.003
126.15,9.704,2,2,0,0,30.8,0,0,2.924,3.702,4.096,1.939,2.77,NA,5.509,7.785,1.232,0,0,21.766,0,0,17.091,0,9.454,9.454,0,0,7.188,-3.936,-4.828,0,0,0,0,0,0,0,6,0,0,7.674,0,6,0,0,0,0,0,0,0,0,6,0,0.263
62.15,6.906,0,0,0,0,0,0,0,0.042,1.944,0,2.78,0,NA,3.531,7.798,1.243,0,0,14.381,0,0,0,0,0,0,32.22,0,5.9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713
78.15,7.815,1,0,0,0,10,0,0,2.556,3.056,0,2.88,0,NA,4.611,9.39,1.474,0,0,14.381,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101
87.14,5.809,1,0,0,6.7,6.7,0,0,3.069,2.778,3.971,2.005,2.914,NA,4.63,5.863,1.038,0,0,25.618,3.124,0,0,11.95,0,0,4.705,0,3.348,-4.745,0,0,0,0,0,1,0,0,6,3,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0.032
45.1,4.51,0,0,0,10,0,0,0,0.25,2.167,0,2.88,0,NA,3.116,2.647,0.524,0,0,16.793,0,0,0,18.011,0,0,0,18.011,0.8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
88.12,6.294,0,0,0,0,14.3,0,0,1.444,2.167,2.056,2.429,2.429,NA,4.018,7.285,1.217,0,0,0,18.37,0,22,18.37,0,0,18.37,0,1.72,-2,-4,0,0,0,0,0,0,0,8,0,0,9.889,0,0,0,0,0,0,0,0,0,0,0,0,0.224
101.22,4.601,0,4,0,4.5,0,0,0,0.785,1.786,1.73,1.705,1.908,NA,3.762,7.628,1.947,0.77,0.903,17.65,9.28,0,0,44.942,0,0,9.28,18.011,0.8,-2,-3.414,0,0,0,0,2,2,6,4,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,2.519
148.23,5.701,0,5,0,0,11.5,0,0,2.555,2.467,1.932,0.933,0.702,NA,4.253,11.577,2.199,1.208,1.128,28.533,4.592,0,64.683,22.243,0,0,4.592,42.683,1.72,0,-2.373,-2.878,-4.798,0,0,3,2,0,9,0,6,10.107,0,0,2,2,1,0,0,0,0,0,2,0,0.05
393.4,7.868,5,16,0,6,20,0,0,3.965,3.438,1.823,1.977,1.832,NA,4.751,20.005,3.558,0.999,0.706,0,18.951,0,0,28.324,0,0,23.501,213.417,4.004,5.051,4.631,4.162,1.711,-0.661,-2,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2.809
292.28,8.119,4,11,0,5.6,22.2,0,0,3.555,3.583,1.931,2.111,2.111,NA,4.754,13.661,2.52,0.936,0.915,0,12.634,0,0,18.883,0,0,16.274,170.733,4.004,4.316,3.899,1.279,-0.661,-2,-2.895,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.845
92.53,9.253,0,0,0,0,10,0,0,1.226,2.389,2.983,0.732,2.061,4.716,4.184,6.721,1.043,0,0,0,7.442,0,11,7.442,39.149,0,7.442,0,1.72,-4.455,0,0,0,0,0,1,1,0,5,0,0,4.726,0,0,0,1,0,0,0,0,3,0,0,1,0.166
88.12,6.294,1,2,0,0,14.3,0,0,2.822,2.944,2.636,1.094,1.638,NA,4.435,5.775,1.168,0,0,17.65,4.592,0,0,22.243,0,0,11.784,0,4.174,-3.851,0,0,0,0,0,2,0,0,2,3,3,4.403,0,1,3,0,0,1,0,0,0,0,1,0,0.344
106.18,5.899,6,1,0,0,0,0,0,0.162,1.896,1.782,0.82,0.82,7.596,5.098,6.514,1.894,0.638,0,8.825,2.535,0,0,11.36,0,0,5.72,0,0,-1.393,-2.347,-4.096,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8.653
45.1,4.51,0,0,0,10,0,0,0,0.847,2.5,0,2.336,0,NA,3.117,2.653,0.645,0,0,8.825,35.003,0,0,43.828,0,0,2.106,32.897,0,0,0,0,0,0,0,2,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03
187.86,23.482,0,0,0,0,0,0,0,0.451,2.125,3.132,0,0,NA,7.078,58.286,0.482,0,0,0,4.808,91.908,0,4.808,0,0,4.808,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957
88.07,8.807,1,0,0,0,30,12.467,0,2.799,3.111,2.803,1.2,1.532,5.81,4.455,4.628,0.787,0,0,0,9.185,0,0,9.185,0,0,18.434,0,4.496,-3.78,-4.372,0,0,0,0,0,0,0,4,0,0,8.583,0,3,0,0,0,0,0,0,0,0,2,0,0.474
98.96,12.37,0,0,0,0,0,0,0,0.943,2.806,3.132,0,0,NA,4.04,9.289,0.676,0,0,0,5.699,0,0,5.699,78.297,0,5.699,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.301
118.2,5.373,0,5,0,0,9.1,0,0,1.511,2.125,1.574,1.796,1.796,NA,3.823,9.268,1.862,1.059,0.326,17.65,18.37,0,22,36.02,0,0,18.37,0,1.72,-1.12,-2.449,-3.57,0,0,0,2,0,0,8,0,6,10.021,0,0,2,0,2,0,0,0,0,0,0,0,0.499
90.14,5.634,0,3,0,0,12.5,0,0,1.157,2.333,1.958,1.844,2.219,NA,3.707,6.806,1.118,1.535,0,21.766,9.185,0,22,9.185,0,0,9.185,0,1.72,-3.162,0,0,0,0,0,0,0,0,10,0,0,9.314,0,0,0,0,0,0,0,0,0,0,0,0,0.007
90.14,5.634,0,3,0,0,12.5,0,0,2.072,2.667,1.958,0.672,1.172,NA,3.706,6.584,1.225,0.84,0,8.825,9.185,0,53.683,18.01,0,0,9.185,42.683,1.72,-3.162,0,0,0,0,0,2,0,0,6,0,3,4.733,0,0,1,0,1,0,0,0,0,0,0,0,0.007
44.06,6.294,0,0,0,0,14.3,0,0,1,2.167,0,2.346,0,NA,3.119,2.647,0.608,0,0,0,9.185,0,11,9.185,0,0,9.185,0,1.72,0,0,0,0,0,0,0,0,0,4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.319
60.12,5.01,0,1,0,16.7,0,0,0,0.903,2.75,3.132,2.097,3.057,NA,3.422,3.868,0.653,0,0,0,70.006,0,0,70.006,0,0,4.211,65.794,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.109
46.03,9.206,1,0,0,0,40,0,0,1.361,5,0,0,0,NA,3.758,1.251,0.158,0,0,0,0,0,0,0,0,0,0,42.683,2.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.056
92.11,6.579,0,2,0,0,21.4,0,0,2.167,3.722,3.135,1.272,2.217,NA,4.046,5.759,0.932,0,0,0,0,0,128.05,0,0,0,0,128.05,0,-3.791,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.876
75.08,7.508,1,1,0,10,20,0,0,2.243,4.033,3.916,1.064,2.525,NA,4.415,3.418,0.517,0,0,0,35.003,0,0,35.003,0,0,3.016,75.581,3.984,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.813
58.04,9.673,2,1,0,0,33.3,0,0,1.806,4.5,3.132,0,0,NA,4.206,1.246,0.452,0,0,0,0,0,0,0,22.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.705
138.02,17.252,0,0,6,0,0,0,0,2.437,6.312,4.976,0,0,NA,4.982,0.508,0.784,0,0,0,0,15.519,0,15.519,0,0,0,0,4.53,-3,-3,-7.817,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957
110.12,7.866,6,0,0,0,14.3,0,0,2.646,2.917,1.848,1.571,1.571,7.54,5.243,3.619,1.337,2.823,0,0,0,0,0,0,0,0,0,85.367,0,-2.275,-3,-3.623,0,0,0,0,0,0,4,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0.798
68.09,7.566,5,0,0,22.2,0,9.167,0,0.667,2.3,3.125,0,0,NA,4.457,2.938,0.437,0,0,0,0,0,0,34.452,16.786,0,0,16.786,0,-3.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134
