MW,AMW,nBM,RBN,nF,N%,O%,D/Dtr05,D/Dtr10,MAXDP,Psi_i_A,Yindex,CIC4,CIC5,VR1_D/Dt,SpDiam_B(m),ATSC2m,ATSC1p,GATS6m,GATS7s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_5,P_VSA_MR_7,P_VSA_s_1,P_VSA_s_3,P_VSA_ppp_D,SpDiam_EA(dm),SM14_AEA(dm),SM15_AEA(dm),SM02_AEA(ri),SM04_AEA(ri),SM06_AEA(ri),SM10_AEA(ri),nCp,nCs,H-046,H-047,H-051,H-052,SssO,CATS2D_02_DL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_03_AL,CATS2D_05_AL,CATS2D_04_LL,T(N..Cl),T(O..F),T(O..Cl),T(F..Cl),F03[C-O],F03[C-Cl],MLOGP2
60.11,5.009,0,1,0,0,8.3,0,0,1.875,2.75,3.132,1.327,2.786,NA,3.435,3.978,0.991,0,0,8.825,2.535,0,42.683,11.36,0,0,2.535,42.683,0,0,0,0,0,0,0,2,1,3,2,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0.12
184.5,15.375,0,1,5,0,8.3,0,0,3.588,5.153,2.995,0.931,1.959,NA,4.971,5.044,1.275,0,0,0,0,14.055,11,14.055,0,0,0,0,4.504,-2,-2,-3,-6.772,0,0,1,0,0,0,0,0,2.525,0,0,0,1,0,0,0,11,3,18,0,0,3.12
74.14,4.943,0,1,0,0,6.7,0,0,2.361,2.567,3.916,1.288,2.718,NA,3.95,5.333,1.353,0,0,17.65,2.535,0,42.683,20.185,0,0,2.535,42.683,0,0,0,0,0,0,0,2,2,3,1,0,5,0,2,0,2,1,0,0,0,0,0,0,1,0,0.64
88.17,4.898,0,1,0,0,5.6,0,0,2.826,2.458,5.184,1.811,2.979,NA,4.462,6.777,1.708,0,0,26.476,2.535,0,42.683,29.01,0,0,2.535,42.683,0,-4.381,0,0,0,0,0,3,1,3,0,0,8,0,3,0,3,1,0,0,0,0,0,0,1,0,1.463
138.14,8.634,7,1,0,12.5,12.5,0,0,3.147,3.133,1.869,0.25,0.125,9.663,5.426,3.886,1.147,1.444,0,6.545,0,0,0,0,6.545,0,5.513,32.897,2.393,-0.52,-2,-2.016,-5.184,0,0,0,0,0,4,0,0,0,1,1,1,4,2,0,0,0,0,0,4,0,0.613
197.44,15.188,6,0,0,0,7.7,0,0,2.95,2.9,1.909,0,0,9.646,5.773,4.696,0.629,3.754,0,0,0,117.446,0,0,117.446,0,10.502,42.683,0,-1.167,-1.372,-3.167,-4.66,0,0,0,0,0,2,0,0,0,1,0,1,2,1,1,0,0,12,0,2,6,10.982
161.03,10.735,6,0,0,0,0,0,0,1.514,2.34,1.63,0.667,0.667,8.532,5.458,5.593,1.045,3.074,0,0,2.85,39.149,0,2.85,78.297,0,9.536,0,2.06,-0.533,-2.787,-3,-5.275,0,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,12.439
130.21,5.661,1,4,0,0,8.7,0,0,3.203,2.5,1.821,1.142,1.339,NA,4.471,9.505,2.213,0.962,3.112,26.476,7.127,0,0,33.603,0,0,14.318,0,4.174,-2,-2,-3.359,0,0,0,3,1,7,2,3,2,4.714,0,1,3,1,1,1,0,0,0,0,2,0,2.981
100.18,5.273,1,2,0,0,5.3,0,0,3.254,2.5,2.672,1.501,2.29,NA,4.534,7.021,1.939,0,0,26.476,2.535,0,0,29.01,0,0,7.668,0,3.677,-2,-4.772,0,0,0,0,3,1,7,0,5,0,0,0,0,2,1,0,2,0,0,0,0,1,0,2.08
162.25,6.24,7,2,0,0,3.8,0,0,3.367,2.299,1.466,1.588,1.588,11.516,5.394,9.91,2.764,0.567,2.036,26.476,0,0,0,26.476,11.424,0,6.371,0,0,0.747,-1.049,-3,-3,-5.275,0,3,0,9,4,0,0,0,0,0,1,2,1,7,0,0,0,0,2,0,9.086
148.27,5.491,6,1,0,0,0,0,0,0.234,1.871,1.648,1.705,1.705,10.539,5.366,10.435,2.963,0.725,2.342,35.301,0,0,0,35.301,0,0,6.371,0,0,-0.47,-3,-3,-3.065,-6.87,0,4,0,12,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14.851
44.06,6.294,1,0,0,0,14.3,0,0,1.806,3.667,0,0,0,NA,3.763,2.158,0.559,0,0,8.825,0,0,0,8.825,11.424,0,0,0,2.555,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.101
135.18,7.115,7,1,0,5.3,5.3,0,0,2.756,2.433,1.435,0.671,0.671,9.618,5.226,6.267,1.725,1.075,0.769,8.825,0,0,0,25.611,0,0,2.757,42.683,2.786,-0.366,-2,-2.294,-4.789,0,0,1,0,0,5,3,0,0,1,1,4,2,2,2,0,0,0,0,1,0,4.135
60.06,7.507,1,0,0,0,25,0,0,2,4.167,0,2.094,0,NA,4.359,2.72,0.537,0,0,8.825,0,0,0,8.825,0,0,0.91,42.683,3.925,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.149
102.1,7.854,2,2,0,0,23.1,0,0,2.811,3.548,2.672,1.939,2.355,NA,4.709,5.11,1.072,0,0,17.65,0,0,0,17.65,0,0,14.383,0,4.612,-2,-4.772,0,0,0,0,2,0,0,0,6,0,3.972,0,2,4,0,0,1,0,0,0,0,2,0,0.207
102.1,7.854,2,2,0,0,23.1,0,0,2.873,3.833,2.672,0.804,1.789,NA,4.711,4.515,1.129,0,0,8.825,2.535,0,0,11.36,0,0,8.578,42.683,4.242,-2,-4.772,0,0,0,0,1,1,0,0,5,0,0,1,1,4,0,0,0,0,0,0,0,3,0,0.127
